train_val_test,tissue,sensitive,resistant
train,haematopoietic,31,28
train,lung,24,45
train,urinary,5,4
train,ovary,4,7
train,oesophagus,6,8
train,stomach,3,4
train,large,9,10
train,autonomic,6,0
train,central,11,7
train,pancreas,5,7
train,pleura,1,0
train,endometrium,2,3
train,skin,7,9
train,kidney,3,3
train,bone,5,3
train,upper,3,4
train,thyroid,4,0
train,prostate,1,0
train,soft,3,0
train,liver,2,4
train,breast,4,17
train,fibroblast,0,0
val,haematopoietic,12,10
val,lung,7,15
val,urinary,1,1
val,ovary,3,2
val,oesophagus,0,3
val,stomach,1,2
val,large,2,4
val,autonomic,2,0
val,central,2,3
val,pancreas,4,3
val,pleura,1,0
val,endometrium,0,1
val,skin,2,3
val,kidney,1,1
val,bone,0,1
val,upper,1,1
val,thyroid,2,0
val,prostate,0,0
val,soft,2,0
val,liver,1,1
val,breast,2,6
val,fibroblast,1,0
test,haematopoietic,7,10
test,lung,10,16
test,urinary,0,2
test,ovary,2,3
test,oesophagus,3,3
test,stomach,1,2
test,large,3,4
test,autonomic,0,0
test,central,1,3
test,pancreas,3,3
test,pleura,1,0
test,endometrium,1,2
test,skin,2,4
test,kidney,1,1
test,bone,2,1
test,upper,2,2
test,thyroid,0,0
test,prostate,2,0
test,soft,2,0
test,liver,3,2
test,breast,2,6
test,fibroblast,0,0
