model,tissue,acc,rocauc,n_0,n_1
nn_hb,all_tissues,0.9369369149208069,0.5446428571428572,0,29
rf,all_tissues,0.9009009009009009,0.7472527472527472,4,96
ridge,all_tissues,0.8378378378378378,0.5137362637362638,1,92
nn_hb,aero_dig_tract,1.0,0.0,0,0
rf,aero_dig_tract,1.0,0.0,0,9
ridge,aero_dig_tract,1.0,0.0,0,9
nn_hb,breast,1.0,0.0,0,9
rf,breast,1.0,0.0,0,9
ridge,breast,0.5555555555555556,0.0,0,5
nn_hb,digestive_system,0.8571428656578064,0.08333333333333333,0,1
rf,digestive_system,0.8571428571428571,0.5,0,6
ridge,digestive_system,0.8571428571428571,0.5,0,6
nn_hb,kidney,1.0,0.0,0,0
rf,kidney,1.0,0.0,0,2
ridge,kidney,1.0,0.0,0,2
nn_hb,large_intestine,0.875,1.0,0,1
rf,large_intestine,0.75,0.42857142857142855,0,6
ridge,large_intestine,0.625,0.35714285714285715,0,5
nn_hb,leukemia,0.4285714328289032,0.5833333333333334,0,2
rf,leukemia,0.5714285714285714,0.5,4,0
ridge,leukemia,0.42857142857142855,0.4583333333333333,1,2
nn_hb,lung,1.0,0.0,0,0
rf,lung,1.0,0.0,0,2
ridge,lung,1.0,0.0,0,2
nn_hb,lung_NSCLC,1.0,0.0,0,4
rf,lung_NSCLC,1.0,0.0,0,18
ridge,lung_NSCLC,0.9444444444444444,0.0,0,17
nn_hb,lung_SCLC,1.0,0.0,0,1
rf,lung_SCLC,1.0,0.0,0,8
ridge,lung_SCLC,0.875,0.0,0,7
nn_hb,lymphoma,0.800000011920929,0.125,0,1
rf,lymphoma,0.2,0.125,0,1
ridge,lymphoma,0.4,0.25,0,2
nn_hb,myeloma,1.0,0.0,0,0
rf,myeloma,0.5,0.0,0,1
ridge,myeloma,1.0,0.0,0,2
nn_hb,nervous_system,1.0,0.0,0,4
rf,nervous_system,1.0,0.0,0,7
ridge,nervous_system,0.8571428571428571,0.0,0,6
nn_hb,pancreas,1.0,0.0,0,0
rf,pancreas,1.0,0.0,0,6
ridge,pancreas,1.0,0.0,0,6
nn_hb,skin,1.0,0.0,0,4
rf,skin,1.0,0.0,0,7
ridge,skin,1.0,0.0,0,7
nn_hb,soft_tissue,1.0,0.0,0,1
rf,soft_tissue,1.0,0.0,0,2
ridge,soft_tissue,1.0,0.0,0,2
nn_hb,thyroid,1.0,0.0,0,0
rf,thyroid,1.0,0.0,0,3
ridge,thyroid,1.0,0.0,0,3
nn_hb,urogenital_system,1.0,0.0,0,1
rf,urogenital_system,1.0,0.0,0,9
ridge,urogenital_system,1.0,0.0,0,9
