model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,uterus,0.0,0.0,0,0
nn_hb,thyroid,0.3333333432674408,0.0,1,0
nn_hb,ovary/fallopian,1.0,1.0,1,2
nn_hb,bladder/urinary,0.3333333432674408,0.5,0,1
nn_hb,lung,0.6800000071525574,0.9038461538461539,4,13
nn_hb,bowel,0.4285714328289032,0.25,0,3
nn_hb,myeloid,0.5,0.75,2,0
nn_hb,pns,0.3333333432674408,0.0,1,0
nn_hb,esophagus/stomach,0.5714285969734192,0.5833333333333334,2,2
nn_hb,kidney,0.6666666865348816,0.5,2,0
nn_hb,lymphoid,0.5,0.5714285714285714,0,4
nn_hb,cns/brain,0.5,1.0,1,1
nn_hb,fibroblast,0.0,0.0,0,0
nn_hb,bone,0.5,0.0,1,0
nn_hb,skin,0.7142857313156128,1.0,2,3
nn_hb,liver,0.6666666865348816,0.5,1,1
nn_hb,pancreas,0.75,0.6666666666666666,1,2
nn_hb,pleura,0.0,0.0,0,0
nn_hb,breast,0.875,0.5,1,6
nn_hb,prostate,1.0,0.0,0,1
nn_hb,cervix,1.0,0.0,0,1
nn_hb,all_tissues,0.5882353186607361,0.674373040752351,20,40
svm,uterus,0.6666666666666666,0.75,1,1
svm,thyroid,0.3333333333333333,0.0,1,0
svm,ovary/fallopian,1.0,1.0,1,2
svm,bladder/urinary,0.3333333333333333,0.25,0,1
svm,lung,0.68,0.6666666666666667,4,13
svm,bowel,0.5714285714285714,0.5,0,4
svm,myeloid,0.75,0.75,1,2
svm,pns,0.3333333333333333,0.5,0,1
svm,esophagus/stomach,0.7142857142857143,0.6666666666666667,1,4
svm,kidney,0.6666666666666666,0.75,1,1
svm,lymphoid,0.375,0.6428571428571428,1,2
svm,cns/brain,0.75,0.5,0,3
svm,fibroblast,0.0,0.0,0,0
svm,bone,0.0,0.0,0,0
svm,skin,0.5714285714285714,0.625,1,3
svm,liver,0.6666666666666666,0.75,1,1
svm,pancreas,0.75,0.5,0,3
svm,pleura,0.0,0.0,0,0
svm,breast,0.875,0.75,1,6
svm,prostate,1.0,0.0,0,1
svm,cervix,1.0,0.0,0,1
svm,all_tissues,0.6176470588235294,0.5815047021943573,14,49
rf,uterus,0.6666666666666666,0.75,1,1
rf,thyroid,0.6666666666666666,0.0,2,0
rf,ovary/fallopian,1.0,1.0,1,2
rf,bladder/urinary,0.6666666666666666,0.5,0,2
rf,lung,0.6,0.5865384615384616,3,12
rf,bowel,0.5714285714285714,0.5416666666666667,1,3
rf,myeloid,0.5,0.5,2,0
rf,pns,0.6666666666666666,0.5,2,0
rf,esophagus/stomach,0.7142857142857143,0.6666666666666667,1,4
rf,kidney,0.3333333333333333,0.25,1,0
rf,lymphoid,0.375,0.6428571428571428,1,2
rf,cns/brain,1.0,1.0,1,3
rf,fibroblast,0.0,0.0,0,0
rf,bone,0.5,0.5,1,0
rf,skin,0.5714285714285714,0.625,1,3
rf,liver,0.6666666666666666,0.75,1,1
rf,pancreas,0.75,0.5,0,3
rf,pleura,1.0,1.0,1,1
rf,breast,0.875,0.75,1,6
rf,prostate,1.0,0.0,0,1
rf,cervix,1.0,0.0,0,1
rf,all_tissues,0.6470588235294118,0.6265673981191222,21,45
ridge_classification,uterus,0.3333333333333333,0.25,1,0
ridge_classification,thyroid,1.0,0.0,3,0
ridge_classification,ovary/fallopian,0.3333333333333333,0.5,1,0
ridge_classification,bladder/urinary,0.0,0.0,0,0
ridge_classification,lung,0.68,0.6730769230769231,6,11
ridge_classification,bowel,0.5714285714285714,0.5416666666666667,1,3
ridge_classification,myeloid,0.75,0.75,1,2
ridge_classification,pns,0.3333333333333333,0.25,1,0
ridge_classification,esophagus/stomach,0.5714285714285714,0.5833333333333334,2,2
ridge_classification,kidney,1.0,1.0,2,1
ridge_classification,lymphoid,0.875,0.9285714285714286,1,6
ridge_classification,cns/brain,0.25,0.5,1,0
ridge_classification,fibroblast,0.0,0.0,0,0
ridge_classification,bone,0.5,0.5,1,0
ridge_classification,skin,0.5714285714285714,0.5833333333333333,2,2
ridge_classification,liver,1.0,1.0,1,2
ridge_classification,pancreas,0.5,0.6666666666666666,1,1
ridge_classification,pleura,0.0,0.0,0,0
ridge_classification,breast,1.0,1.0,2,6
ridge_classification,prostate,1.0,0.0,0,1
ridge_classification,cervix,0.0,0.0,0,0
ridge_classification,all_tissues,0.6274509803921569,0.6257836990595612,27,37
