model,variable,value,tissue
nn_hb,rocauc,0.674373040752351,all_tissues
rf,rocauc,0.6265673981191222,all_tissues
ridge_classification,rocauc,0.6257836990595612,all_tissues
svm,rocauc,0.5815047021943573,all_tissues
nn_hb,rocauc,0.5,bladder/urinary
rf,rocauc,0.5,bladder/urinary
ridge_classification,rocauc,0.0,bladder/urinary
svm,rocauc,0.25,bladder/urinary
nn_hb,rocauc,0.0,bone
rf,rocauc,0.5,bone
ridge_classification,rocauc,0.5,bone
svm,rocauc,0.0,bone
nn_hb,rocauc,0.25,bowel
rf,rocauc,0.5416666666666667,bowel
ridge_classification,rocauc,0.5416666666666667,bowel
svm,rocauc,0.5,bowel
nn_hb,rocauc,0.5,breast
rf,rocauc,0.75,breast
ridge_classification,rocauc,1.0,breast
svm,rocauc,0.75,breast
nn_hb,rocauc,0.0,cervix
rf,rocauc,0.0,cervix
ridge_classification,rocauc,0.0,cervix
svm,rocauc,0.0,cervix
nn_hb,rocauc,1.0,cns/brain
rf,rocauc,1.0,cns/brain
ridge_classification,rocauc,0.5,cns/brain
svm,rocauc,0.5,cns/brain
nn_hb,rocauc,0.5833333333333334,esophagus/stomach
rf,rocauc,0.6666666666666667,esophagus/stomach
ridge_classification,rocauc,0.5833333333333334,esophagus/stomach
svm,rocauc,0.6666666666666667,esophagus/stomach
nn_hb,rocauc,0.0,fibroblast
rf,rocauc,0.0,fibroblast
ridge_classification,rocauc,0.0,fibroblast
svm,rocauc,0.0,fibroblast
nn_hb,rocauc,0.5,kidney
rf,rocauc,0.25,kidney
ridge_classification,rocauc,1.0,kidney
svm,rocauc,0.75,kidney
nn_hb,rocauc,0.5,liver
rf,rocauc,0.75,liver
ridge_classification,rocauc,1.0,liver
svm,rocauc,0.75,liver
nn_hb,rocauc,0.9038461538461539,lung
rf,rocauc,0.5865384615384616,lung
ridge_classification,rocauc,0.6730769230769231,lung
svm,rocauc,0.6666666666666667,lung
nn_hb,rocauc,0.5714285714285714,lymphoid
rf,rocauc,0.6428571428571428,lymphoid
ridge_classification,rocauc,0.9285714285714286,lymphoid
svm,rocauc,0.6428571428571428,lymphoid
nn_hb,rocauc,0.75,myeloid
rf,rocauc,0.5,myeloid
ridge_classification,rocauc,0.75,myeloid
svm,rocauc,0.75,myeloid
nn_hb,rocauc,1.0,ovary/fallopian
rf,rocauc,1.0,ovary/fallopian
ridge_classification,rocauc,0.5,ovary/fallopian
svm,rocauc,1.0,ovary/fallopian
nn_hb,rocauc,0.6666666666666666,pancreas
rf,rocauc,0.5,pancreas
ridge_classification,rocauc,0.6666666666666666,pancreas
svm,rocauc,0.5,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,1.0,pleura
ridge_classification,rocauc,0.0,pleura
svm,rocauc,0.0,pleura
nn_hb,rocauc,0.0,pns
rf,rocauc,0.5,pns
ridge_classification,rocauc,0.25,pns
svm,rocauc,0.5,pns
nn_hb,rocauc,0.0,prostate
rf,rocauc,0.0,prostate
ridge_classification,rocauc,0.0,prostate
svm,rocauc,0.0,prostate
nn_hb,rocauc,1.0,skin
rf,rocauc,0.625,skin
ridge_classification,rocauc,0.5833333333333333,skin
svm,rocauc,0.625,skin
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
svm,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,uterus
rf,rocauc,0.75,uterus
ridge_classification,rocauc,0.25,uterus
svm,rocauc,0.75,uterus
