model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,central,0.800000011920929,0.8333333333333333,1,3
nn_hb,thyroid,1.0,0.0,2,0
nn_hb,lung,0.6666666865348816,0.6153846153846154,3,9
nn_hb,pleura,1.0,0.0,2,0
nn_hb,haematopoietic,0.4285714328289032,0.6,4,2
nn_hb,skin,0.25,0.39999999999999997,0,2
nn_hb,pancreas,0.2857142984867096,0.3333333333333333,2,0
nn_hb,large,0.4285714328289032,0.41666666666666663,1,2
nn_hb,oesophagus,0.6666666865348816,0.6666666666666666,3,1
nn_hb,ovary,0.25,0.0,1,0
nn_hb,urinary,0.6000000238418579,0.6666666666666667,2,1
nn_hb,autonomic,1.0,0.0,3,0
nn_hb,liver,0.25,0.5,1,0
nn_hb,soft,1.0,0.0,2,0
nn_hb,stomach,0.0,0.0,0,0
nn_hb,kidney,1.0,0.0,0,1
nn_hb,bone,0.0,0.0,0,0
nn_hb,endometrium,1.0,0.0,0,1
nn_hb,upper,0.5,0.0,0,1
nn_hb,breast,0.625,0.5,0,5
nn_hb,all_tissues,0.5392156839370728,0.5863547758284601,27,28
rf,central,0.2,0.25,1,0
rf,thyroid,1.0,0.0,2,0
rf,lung,0.6111111111111112,0.5461538461538462,2,9
rf,pleura,1.0,0.0,2,0
rf,haematopoietic,0.5,0.6111111111111112,5,2
rf,skin,0.625,0.7,2,3
rf,pancreas,0.42857142857142855,0.4583333333333333,1,2
rf,large,0.7142857142857143,0.6666666666666667,1,4
rf,oesophagus,0.8333333333333334,0.8333333333333334,2,3
rf,ovary,0.5,0.5,1,1
rf,urinary,0.2,0.25,0,1
rf,autonomic,0.6666666666666666,0.0,2,0
rf,liver,0.75,0.75,2,1
rf,soft,0.5,0.0,1,0
rf,stomach,1.0,0.0,0,2
rf,kidney,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,endometrium,1.0,0.0,0,1
rf,upper,0.5,0.0,0,1
rf,breast,0.625,0.4166666666666667,0,5
rf,all_tissues,0.5784313725490197,0.5736842105263158,24,35
ridge_classification,central,0.8,0.75,1,3
ridge_classification,thyroid,0.0,0.0,0,0
ridge_classification,lung,0.6111111111111112,0.6076923076923078,3,8
ridge_classification,pleura,1.0,0.0,2,0
ridge_classification,haematopoietic,0.6428571428571429,0.6333333333333333,3,6
ridge_classification,skin,0.375,0.43333333333333324,1,2
ridge_classification,pancreas,0.42857142857142855,0.41666666666666663,2,1
ridge_classification,large,0.7142857142857143,0.7083333333333334,2,3
ridge_classification,oesophagus,0.6666666666666666,0.6666666666666666,3,1
ridge_classification,ovary,0.5,0.5,1,1
ridge_classification,urinary,0.8,0.75,3,1
ridge_classification,autonomic,1.0,0.0,3,0
ridge_classification,liver,0.5,0.5,2,0
ridge_classification,soft,1.0,0.0,2,0
ridge_classification,stomach,0.5,0.0,0,1
ridge_classification,kidney,1.0,0.0,0,1
ridge_classification,bone,1.0,0.0,0,1
ridge_classification,endometrium,1.0,0.0,0,1
ridge_classification,upper,0.5,0.0,0,1
ridge_classification,breast,0.625,0.4166666666666667,0,5
ridge_classification,all_tissues,0.6274509803921569,0.6269005847953216,28,36
