model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,28,31,0.27450980170298434,0.30392156617116123
rf,all_tissues,16,44,0.1568627450980392,0.4313725490196078
ridge_classification,all_tissues,26,37,0.2549019607843137,0.36274509803921573
svm,all_tissues,14,46,0.13725490196078433,0.4509803921568628
nn_hb,bladder/urinary,1,1,0.3333333432674408,0.3333333432674408
rf,bladder/urinary,1,0,0.3333333333333333,0.0
ridge_classification,bladder/urinary,0,0,0.0,0.0
svm,bladder/urinary,0,1,0.0,0.3333333333333333
nn_hb,bone,1,0,0.5,0.0
rf,bone,0,0,0.0,0.0
ridge_classification,bone,1,0,0.5,0.0
svm,bone,0,0,0.0,0.0
nn_hb,bowel,2,3,0.28571429252624514,0.42857143878936765
rf,bowel,1,4,0.14285714285714288,0.5714285714285715
ridge_classification,bowel,2,3,0.28571428571428575,0.42857142857142855
svm,bowel,0,4,0.0,0.5714285714285714
nn_hb,breast,1,5,0.125,0.625
rf,breast,1,6,0.125,0.75
ridge_classification,breast,2,6,0.25,0.75
svm,breast,1,6,0.125,0.75
nn_hb,cervix,0,1,0.0,1.0
rf,cervix,0,1,0.0,1.0
ridge_classification,cervix,0,0,0.0,0.0
svm,cervix,0,1,0.0,1.0
nn_hb,cns/brain,1,0,0.25,0.0
rf,cns/brain,0,3,0.0,0.75
ridge_classification,cns/brain,1,2,0.25,0.5
svm,cns/brain,1,2,0.25,0.5
nn_hb,esophagus/stomach,3,2,0.42857143878936765,0.28571429252624514
rf,esophagus/stomach,0,4,0.0,0.5714285714285714
ridge_classification,esophagus/stomach,2,2,0.2857142857142857,0.2857142857142857
svm,esophagus/stomach,0,4,0.0,0.5714285714285714
nn_hb,fibroblast,0,0,0.0,0.0
rf,fibroblast,0,0,0.0,0.0
ridge_classification,fibroblast,0,0,0.0,0.0
svm,fibroblast,0,0,0.0,0.0
nn_hb,kidney,2,0,0.6666666865348816,0.0
rf,kidney,1,0,0.3333333333333333,0.0
ridge_classification,kidney,2,0,0.6666666666666666,0.0
svm,kidney,2,0,0.6666666666666666,0.0
nn_hb,liver,1,0,0.3333333432674408,0.0
rf,liver,0,1,0.0,0.3333333333333333
ridge_classification,liver,1,2,0.3333333333333333,0.6666666666666666
svm,liver,1,1,0.3333333333333333,0.3333333333333333
nn_hb,lung,5,10,0.20000000794728595,0.4000000158945719
rf,lung,3,12,0.12,0.48
ridge_classification,lung,6,11,0.24000000000000005,0.44000000000000006
svm,lung,3,13,0.12,0.52
nn_hb,lymphoid,0,3,0.0,0.375
rf,lymphoid,1,2,0.125,0.25
ridge_classification,lymphoid,0,6,0.0,0.75
svm,lymphoid,1,2,0.125,0.25
nn_hb,myeloid,2,1,0.5,0.25
rf,myeloid,2,0,0.5,0.0
ridge_classification,myeloid,1,1,0.25,0.25
svm,myeloid,1,1,0.25,0.25
nn_hb,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
rf,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
ridge_classification,ovary/fallopian,1,0,0.3333333333333333,0.0
svm,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
nn_hb,pancreas,1,1,0.25,0.25
rf,pancreas,0,3,0.0,0.75
ridge_classification,pancreas,1,1,0.25,0.25
svm,pancreas,0,3,0.0,0.75
nn_hb,pleura,0,0,0.0,0.0
rf,pleura,0,1,0.0,0.5
ridge_classification,pleura,0,0,0.0,0.0
svm,pleura,0,0,0.0,0.0
nn_hb,pns,1,0,0.3333333432674408,0.0
rf,pns,2,0,0.6666666666666666,0.0
ridge_classification,pns,1,0,0.3333333333333333,0.0
svm,pns,0,1,0.0,0.3333333333333333
nn_hb,prostate,0,1,0.0,1.0
rf,prostate,0,1,0.0,1.0
ridge_classification,prostate,0,1,0.0,1.0
svm,prostate,0,1,0.0,1.0
nn_hb,skin,4,1,0.5714285850524903,0.14285714626312257
rf,skin,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,skin,2,1,0.2857142857142857,0.14285714285714285
svm,skin,1,3,0.14285714285714285,0.42857142857142855
nn_hb,thyroid,2,0,0.6666666865348816,0.0
rf,thyroid,1,0,0.3333333333333333,0.0
ridge_classification,thyroid,3,0,1.0,0.0
svm,thyroid,1,0,0.3333333333333333,0.0
nn_hb,uterus,0,0,0.0,0.0
rf,uterus,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,uterus,0,1,0.0,0.3333333333333333
svm,uterus,1,1,0.3333333333333333,0.3333333333333333
