model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,22,38,0.21568628350893654,0.3725490351517995
rf,all_tissues,25,39,0.24509803921568626,0.38235294117647056
ridge_classification,all_tissues,25,41,0.2450980392156863,0.4019607843137255
nn_hb,autonomic,1,0,0.3333333432674408,0.0
rf,autonomic,3,0,1.0,0.0
ridge_classification,autonomic,3,0,1.0,0.0
nn_hb,bone,0,1,0.0,1.0
rf,bone,0,1,0.0,1.0
ridge_classification,bone,0,0,0.0,0.0
nn_hb,breast,0,6,0.0,0.75
rf,breast,0,5,0.0,0.625
ridge_classification,breast,0,6,0.0,0.75
nn_hb,central,2,1,0.4000000158945719,0.20000000794728595
rf,central,2,0,0.4,0.0
ridge_classification,central,2,2,0.4,0.4
nn_hb,endometrium,0,0,0.0,0.0
rf,endometrium,0,1,0.0,1.0
ridge_classification,endometrium,0,0,0.0,0.0
nn_hb,haematopoietic,2,3,0.14285714626312257,0.21428571939468383
rf,haematopoietic,5,3,0.3571428571428571,0.21428571428571427
ridge_classification,haematopoietic,3,5,0.21428571428571427,0.3571428571428571
nn_hb,kidney,0,1,0.0,1.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,1,0.0,1.0
nn_hb,large,1,4,0.14285714626312257,0.5714285850524903
rf,large,1,4,0.14285714285714288,0.5714285714285715
ridge_classification,large,1,4,0.14285714285714288,0.5714285714285715
nn_hb,liver,1,1,0.25,0.25
rf,liver,2,0,0.5,0.0
ridge_classification,liver,2,0,0.5,0.0
nn_hb,lung,2,9,0.11111110990697688,0.49999999458139593
rf,lung,2,12,0.1111111111111111,0.6666666666666666
ridge_classification,lung,3,11,0.16666666666666666,0.6111111111111112
nn_hb,oesophagus,3,2,0.49999998807907103,0.3333333253860474
rf,oesophagus,0,2,0.0,0.3333333333333333
ridge_classification,oesophagus,1,2,0.16666666666666666,0.3333333333333333
nn_hb,ovary,1,2,0.25,0.5
rf,ovary,0,1,0.0,0.25
ridge_classification,ovary,0,1,0.0,0.25
nn_hb,pancreas,2,1,0.2857142885526021,0.14285714427630106
rf,pancreas,2,2,0.2857142857142857,0.2857142857142857
ridge_classification,pancreas,2,2,0.2857142857142857,0.2857142857142857
nn_hb,pleura,1,0,0.5,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,2,0,1.0,0.0
nn_hb,skin,1,3,0.125,0.375
rf,skin,1,3,0.125,0.375
ridge_classification,skin,1,3,0.125,0.375
nn_hb,soft,1,0,0.5,0.0
rf,soft,2,0,1.0,0.0
ridge_classification,soft,2,0,1.0,0.0
nn_hb,stomach,0,2,0.0,1.0
rf,stomach,0,2,0.0,1.0
ridge_classification,stomach,0,1,0.0,0.5
nn_hb,thyroid,2,0,1.0,0.0
rf,thyroid,2,0,1.0,0.0
ridge_classification,thyroid,1,0,0.5,0.0
nn_hb,upper,0,1,0.0,0.5
rf,upper,0,2,0.0,1.0
ridge_classification,upper,0,1,0.0,0.5
nn_hb,urinary,2,1,0.4000000158945719,0.20000000794728595
rf,urinary,1,1,0.2,0.2
ridge_classification,urinary,2,2,0.4,0.4
