model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,uterus,0.3333333432674408,0.0,0,1
nn_hb,thyroid,0.3333333432674408,0.0,1,0
nn_hb,ovary/fallopian,1.0,1.0,1,2
nn_hb,bladder/urinary,0.3333333432674408,0.0,0,1
nn_hb,lung,0.5600000023841858,0.9294871794871795,1,13
nn_hb,bowel,0.5714285969734192,0.75,1,3
nn_hb,myeloid,0.25,0.5,1,0
nn_hb,pns,1.0,1.0,2,1
nn_hb,esophagus/stomach,0.7142857313156128,0.75,1,4
nn_hb,kidney,0.6666666865348816,1.0,2,0
nn_hb,lymphoid,0.5,0.42857142857142855,1,3
nn_hb,cns/brain,0.75,1.0,1,2
nn_hb,fibroblast,1.0,0.0,1,0
nn_hb,bone,0.5,0.0,0,1
nn_hb,skin,0.7142857313156128,0.9166666666666666,2,3
nn_hb,liver,0.3333333432674408,0.5,0,1
nn_hb,pancreas,0.75,1.0,1,2
nn_hb,pleura,0.0,0.0,0,0
nn_hb,breast,0.75,0.5,0,6
nn_hb,prostate,1.0,0.0,0,1
nn_hb,cervix,1.0,0.0,0,1
nn_hb,all_tissues,0.5980392098426819,0.6739811912225705,16,45
svm,uterus,0.6666666666666666,0.75,1,1
svm,thyroid,0.3333333333333333,0.0,1,0
svm,ovary/fallopian,1.0,1.0,1,2
svm,bladder/urinary,0.0,0.0,0,0
svm,lung,0.68,0.6666666666666667,4,13
svm,bowel,0.5714285714285714,0.5,0,4
svm,myeloid,0.5,0.5,1,1
svm,pns,0.3333333333333333,0.5,0,1
svm,esophagus/stomach,0.7142857142857143,0.6666666666666667,1,4
svm,kidney,0.6666666666666666,0.5,2,0
svm,lymphoid,0.5,0.7142857142857143,1,3
svm,cns/brain,0.75,0.8333333333333333,1,2
svm,fibroblast,0.0,0.0,0,0
svm,bone,0.0,0.0,0,0
svm,skin,0.5714285714285714,0.625,1,3
svm,liver,1.0,1.0,1,2
svm,pancreas,0.75,0.5,0,3
svm,pleura,0.0,0.0,0,0
svm,breast,0.875,0.75,1,6
svm,prostate,1.0,0.0,0,1
svm,cervix,1.0,0.0,0,1
svm,all_tissues,0.6176470588235294,0.5869905956112853,16,47
rf,uterus,0.6666666666666666,0.75,1,1
rf,thyroid,0.6666666666666666,0.0,2,0
rf,ovary/fallopian,1.0,1.0,1,2
rf,bladder/urinary,0.0,0.0,0,0
rf,lung,0.68,0.6698717948717949,5,12
rf,bowel,0.5714285714285714,0.5416666666666667,1,3
rf,myeloid,0.5,0.5,2,0
rf,pns,0.6666666666666666,0.5,2,0
rf,esophagus/stomach,0.7142857142857143,0.6666666666666667,1,4
rf,kidney,0.6666666666666666,0.75,1,1
rf,lymphoid,0.375,0.6428571428571428,1,2
rf,cns/brain,0.5,0.3333333333333333,0,2
rf,fibroblast,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,skin,0.5714285714285714,0.625,1,3
rf,liver,0.6666666666666666,0.75,1,1
rf,pancreas,0.75,0.5,0,3
rf,pleura,0.5,0.5,0,1
rf,breast,0.875,0.75,1,6
rf,prostate,1.0,0.0,0,1
rf,cervix,1.0,0.0,0,1
rf,all_tissues,0.6176470588235294,0.5979623824451411,20,43
ridge_classification,uterus,0.0,0.0,0,0
ridge_classification,thyroid,1.0,0.0,3,0
ridge_classification,ovary/fallopian,0.3333333333333333,0.5,1,0
ridge_classification,bladder/urinary,0.6666666666666666,0.75,1,1
ridge_classification,lung,0.64,0.6314102564102564,5,11
ridge_classification,bowel,0.5714285714285714,0.5416666666666667,1,3
ridge_classification,myeloid,0.5,0.5,1,1
ridge_classification,pns,0.6666666666666666,0.5,2,0
ridge_classification,esophagus/stomach,0.2857142857142857,0.2916666666666667,1,1
ridge_classification,kidney,0.6666666666666666,0.5,2,0
ridge_classification,lymphoid,0.625,0.7857142857142857,1,4
ridge_classification,cns/brain,0.25,0.5,1,0
ridge_classification,fibroblast,1.0,0.0,1,0
ridge_classification,bone,1.0,1.0,1,1
ridge_classification,skin,0.5714285714285714,0.5416666666666666,3,1
ridge_classification,liver,1.0,1.0,1,2
ridge_classification,pancreas,0.5,0.3333333333333333,0,2
ridge_classification,pleura,0.0,0.0,0,0
ridge_classification,breast,0.875,0.75,1,6
ridge_classification,prostate,1.0,0.0,0,1
ridge_classification,cervix,0.0,0.0,0,0
ridge_classification,all_tissues,0.5882352941176471,0.5885579937304075,26,34
