model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,16,45,0.15686274356529362,0.4411764662773883
rf,all_tissues,20,43,0.19607843137254902,0.4215686274509804
ridge_classification,all_tissues,26,34,0.25490196078431376,0.3333333333333333
svm,all_tissues,16,47,0.1568627450980392,0.4607843137254902
nn_hb,bladder/urinary,0,1,0.0,0.3333333432674408
rf,bladder/urinary,0,0,0.0,0.0
ridge_classification,bladder/urinary,1,1,0.3333333333333333,0.3333333333333333
svm,bladder/urinary,0,0,0.0,0.0
nn_hb,bone,0,1,0.0,0.5
rf,bone,0,0,0.0,0.0
ridge_classification,bone,1,1,0.5,0.5
svm,bone,0,0,0.0,0.0
nn_hb,bowel,1,3,0.1428571492433548,0.4285714477300644
rf,bowel,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,bowel,1,3,0.14285714285714285,0.42857142857142855
svm,bowel,0,4,0.0,0.5714285714285714
nn_hb,breast,0,6,0.0,0.75
rf,breast,1,6,0.125,0.75
ridge_classification,breast,1,6,0.125,0.75
svm,breast,1,6,0.125,0.75
nn_hb,cervix,0,1,0.0,1.0
rf,cervix,0,1,0.0,1.0
ridge_classification,cervix,0,0,0.0,0.0
svm,cervix,0,1,0.0,1.0
nn_hb,cns/brain,1,2,0.25,0.5
rf,cns/brain,0,2,0.0,0.5
ridge_classification,cns/brain,1,0,0.25,0.0
svm,cns/brain,1,2,0.25,0.5
nn_hb,esophagus/stomach,1,4,0.14285714626312257,0.5714285850524903
rf,esophagus/stomach,1,4,0.14285714285714288,0.5714285714285715
ridge_classification,esophagus/stomach,1,1,0.14285714285714285,0.14285714285714285
svm,esophagus/stomach,1,4,0.14285714285714288,0.5714285714285715
nn_hb,fibroblast,1,0,1.0,0.0
rf,fibroblast,0,0,0.0,0.0
ridge_classification,fibroblast,1,0,1.0,0.0
svm,fibroblast,0,0,0.0,0.0
nn_hb,kidney,2,0,0.6666666865348816,0.0
rf,kidney,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,kidney,2,0,0.6666666666666666,0.0
svm,kidney,2,0,0.6666666666666666,0.0
nn_hb,liver,0,1,0.0,0.3333333432674408
rf,liver,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,liver,1,2,0.3333333333333333,0.6666666666666666
svm,liver,1,2,0.3333333333333333,0.6666666666666666
nn_hb,lung,1,13,0.040000000170298984,0.5200000022138869
rf,lung,5,12,0.2,0.4800000000000001
ridge_classification,lung,5,11,0.2,0.44
svm,lung,4,13,0.16,0.52
nn_hb,lymphoid,1,3,0.125,0.375
rf,lymphoid,1,2,0.125,0.25
ridge_classification,lymphoid,1,4,0.125,0.5
svm,lymphoid,1,3,0.125,0.375
nn_hb,myeloid,1,0,0.25,0.0
rf,myeloid,2,0,0.5,0.0
ridge_classification,myeloid,1,1,0.25,0.25
svm,myeloid,1,1,0.25,0.25
nn_hb,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
rf,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
ridge_classification,ovary/fallopian,1,0,0.3333333333333333,0.0
svm,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
nn_hb,pancreas,1,2,0.25,0.5
rf,pancreas,0,3,0.0,0.75
ridge_classification,pancreas,0,2,0.0,0.5
svm,pancreas,0,3,0.0,0.75
nn_hb,pleura,0,0,0.0,0.0
rf,pleura,0,1,0.0,0.5
ridge_classification,pleura,0,0,0.0,0.0
svm,pleura,0,0,0.0,0.0
nn_hb,pns,2,1,0.6666666666666666,0.3333333333333333
rf,pns,2,0,0.6666666666666666,0.0
ridge_classification,pns,2,0,0.6666666666666666,0.0
svm,pns,0,1,0.0,0.3333333333333333
nn_hb,prostate,0,1,0.0,1.0
rf,prostate,0,1,0.0,1.0
ridge_classification,prostate,0,1,0.0,1.0
svm,prostate,0,1,0.0,1.0
nn_hb,skin,2,3,0.28571429252624514,0.42857143878936765
rf,skin,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,skin,3,1,0.42857142857142855,0.14285714285714285
svm,skin,1,3,0.14285714285714285,0.42857142857142855
nn_hb,thyroid,1,0,0.3333333432674408,0.0
rf,thyroid,2,0,0.6666666666666666,0.0
ridge_classification,thyroid,3,0,1.0,0.0
svm,thyroid,1,0,0.3333333333333333,0.0
nn_hb,uterus,0,1,0.0,0.3333333432674408
rf,uterus,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,uterus,0,0,0.0,0.0
svm,uterus,1,1,0.3333333333333333,0.3333333333333333
