model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,uterus,0.0,0.0,0,0
nn_hb,thyroid,0.0,0.0,0,0
nn_hb,ovary/fallopian,0.6666666865348816,0.5,1,1
nn_hb,bladder/urinary,0.6666666865348816,0.0,0,2
nn_hb,lung,0.5199999809265137,0.6923076923076923,1,12
nn_hb,bowel,0.5714285969734192,0.6666666666666666,0,4
nn_hb,myeloid,0.5,0.5,2,0
nn_hb,pns,0.3333333432674408,0.5,0,1
nn_hb,esophagus/stomach,0.5714285969734192,0.5,0,4
nn_hb,kidney,0.3333333432674408,1.0,0,1
nn_hb,lymphoid,0.625,0.5714285714285714,1,4
nn_hb,cns/brain,0.5,0.3333333333333333,0,2
nn_hb,fibroblast,1.0,0.0,1,0
nn_hb,bone,0.5,0.0,0,1
nn_hb,skin,0.8571428656578064,0.9166666666666666,4,2
nn_hb,liver,0.6666666865348816,0.5,1,1
nn_hb,pancreas,0.75,0.3333333333333333,0,3
nn_hb,pleura,0.5,1.0,1,0
nn_hb,breast,0.75,0.6666666666666666,0,6
nn_hb,prostate,1.0,0.0,0,1
nn_hb,cervix,1.0,0.0,0,1
nn_hb,all_tissues,0.5686274766921997,0.5650470219435737,12,46
svm,uterus,0.3333333333333333,0.5,0,1
svm,thyroid,0.0,0.0,0,0
svm,ovary/fallopian,0.6666666666666666,0.75,1,1
svm,bladder/urinary,0.6666666666666666,0.5,0,2
svm,lung,0.52,0.5128205128205129,4,9
svm,bowel,0.5714285714285714,0.5416666666666667,1,3
svm,myeloid,0.5,0.5,1,1
svm,pns,0.6666666666666666,0.5,2,0
svm,esophagus/stomach,0.2857142857142857,0.25,0,2
svm,kidney,1.0,1.0,2,1
svm,lymphoid,0.5,0.7142857142857143,1,3
svm,cns/brain,0.25,0.16666666666666666,0,1
svm,fibroblast,1.0,0.0,1,0
svm,bone,0.5,0.5,0,1
svm,skin,0.7142857142857143,0.75,2,3
svm,liver,0.3333333333333333,0.25,0,1
svm,pancreas,1.0,1.0,1,3
svm,pleura,0.0,0.0,0,0
svm,breast,0.625,0.5833333333333333,1,4
svm,prostate,1.0,0.0,0,1
svm,cervix,1.0,0.0,0,1
svm,all_tissues,0.5392156862745098,0.52076802507837,17,38
rf,uterus,0.6666666666666666,0.75,1,1
rf,thyroid,0.3333333333333333,0.0,1,0
rf,ovary/fallopian,0.6666666666666666,0.75,1,1
rf,bladder/urinary,0.6666666666666666,0.5,0,2
rf,lung,0.56,0.5448717948717948,2,12
rf,bowel,0.5714285714285714,0.5416666666666667,1,3
rf,myeloid,0.5,0.5,2,0
rf,pns,0.3333333333333333,0.25,1,0
rf,esophagus/stomach,0.7142857142857143,0.7083333333333334,2,3
rf,kidney,0.6666666666666666,0.5,2,0
rf,lymphoid,0.125,0.5,1,0
rf,cns/brain,0.75,0.8333333333333333,1,2
rf,fibroblast,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,skin,0.42857142857142855,0.4583333333333333,1,2
rf,liver,0.0,0.0,0,0
rf,pancreas,0.75,0.5,0,3
rf,pleura,0.0,0.0,0,0
rf,breast,0.75,0.6666666666666667,1,5
rf,prostate,1.0,0.0,0,1
rf,cervix,1.0,0.0,0,1
rf,all_tissues,0.5196078431372549,0.5035266457680251,17,36
ridge_classification,uterus,0.0,0.0,0,0
ridge_classification,thyroid,0.6666666666666666,0.0,2,0
ridge_classification,ovary/fallopian,0.3333333333333333,0.5,1,0
ridge_classification,bladder/urinary,0.3333333333333333,0.25,0,1
ridge_classification,lung,0.44,0.43910256410256415,5,6
ridge_classification,bowel,0.2857142857142857,0.25,0,2
ridge_classification,myeloid,0.75,0.75,2,1
ridge_classification,pns,0.6666666666666666,0.5,2,0
ridge_classification,esophagus/stomach,0.5714285714285714,0.5416666666666667,1,3
ridge_classification,kidney,1.0,1.0,2,1
ridge_classification,lymphoid,0.5,0.7142857142857143,1,3
ridge_classification,cns/brain,0.5,0.6666666666666666,1,1
ridge_classification,fibroblast,1.0,0.0,1,0
ridge_classification,bone,0.5,0.5,0,1
ridge_classification,skin,0.2857142857142857,0.29166666666666663,1,1
ridge_classification,liver,0.6666666666666666,0.75,1,1
ridge_classification,pancreas,0.5,0.3333333333333333,0,2
ridge_classification,pleura,0.0,0.0,0,0
ridge_classification,breast,0.625,0.75,2,3
ridge_classification,prostate,0.0,0.0,0,0
ridge_classification,cervix,1.0,0.0,0,1
ridge_classification,all_tissues,0.4803921568627451,0.48275862068965514,22,27
