model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,12,46,0.11764706414321373,0.45098041254898596
rf,all_tissues,17,36,0.16666666666666669,0.35294117647058826
ridge_classification,all_tissues,22,27,0.21568627450980393,0.2647058823529412
svm,all_tissues,17,38,0.16666666666666666,0.37254901960784315
nn_hb,bladder/urinary,0,2,0.0,0.6666666865348816
rf,bladder/urinary,0,2,0.0,0.6666666666666666
ridge_classification,bladder/urinary,0,1,0.0,0.3333333333333333
svm,bladder/urinary,0,2,0.0,0.6666666666666666
nn_hb,bone,0,1,0.0,0.5
rf,bone,0,0,0.0,0.0
ridge_classification,bone,0,1,0.0,0.5
svm,bone,0,1,0.0,0.5
nn_hb,bowel,0,4,0.0,0.5714285969734192
rf,bowel,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,bowel,0,2,0.0,0.2857142857142857
svm,bowel,1,3,0.14285714285714285,0.42857142857142855
nn_hb,breast,0,6,0.0,0.75
rf,breast,1,5,0.125,0.625
ridge_classification,breast,2,3,0.25,0.375
svm,breast,1,4,0.125,0.5
nn_hb,cervix,0,1,0.0,1.0
rf,cervix,0,1,0.0,1.0
ridge_classification,cervix,0,1,0.0,1.0
svm,cervix,0,1,0.0,1.0
nn_hb,cns/brain,0,2,0.0,0.5
rf,cns/brain,1,2,0.25,0.5
ridge_classification,cns/brain,1,1,0.25,0.25
svm,cns/brain,0,1,0.0,0.25
nn_hb,esophagus/stomach,0,4,0.0,0.5714285969734192
rf,esophagus/stomach,2,3,0.28571428571428575,0.42857142857142855
ridge_classification,esophagus/stomach,1,3,0.14285714285714285,0.42857142857142855
svm,esophagus/stomach,0,2,0.0,0.2857142857142857
nn_hb,fibroblast,1,0,1.0,0.0
rf,fibroblast,0,0,0.0,0.0
ridge_classification,fibroblast,1,0,1.0,0.0
svm,fibroblast,1,0,1.0,0.0
nn_hb,kidney,0,1,0.0,0.3333333432674408
rf,kidney,2,0,0.6666666666666666,0.0
ridge_classification,kidney,2,1,0.6666666666666666,0.3333333333333333
svm,kidney,2,1,0.6666666666666666,0.3333333333333333
nn_hb,liver,1,1,0.3333333432674408,0.3333333432674408
rf,liver,0,0,0.0,0.0
ridge_classification,liver,1,1,0.3333333333333333,0.3333333333333333
svm,liver,0,1,0.0,0.3333333333333333
nn_hb,lung,1,12,0.03999999853280874,0.47999998239370495
rf,lung,2,12,0.08,0.48000000000000004
ridge_classification,lung,5,6,0.19999999999999998,0.24
svm,lung,4,9,0.16,0.36
nn_hb,lymphoid,1,4,0.125,0.5
rf,lymphoid,1,0,0.125,0.0
ridge_classification,lymphoid,1,3,0.125,0.375
svm,lymphoid,1,3,0.125,0.375
nn_hb,myeloid,2,0,0.5,0.0
rf,myeloid,2,0,0.5,0.0
ridge_classification,myeloid,2,1,0.5,0.25
svm,myeloid,1,1,0.25,0.25
nn_hb,ovary/fallopian,1,1,0.3333333432674408,0.3333333432674408
rf,ovary/fallopian,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,ovary/fallopian,1,0,0.3333333333333333,0.0
svm,ovary/fallopian,1,1,0.3333333333333333,0.3333333333333333
nn_hb,pancreas,0,3,0.0,0.75
rf,pancreas,0,3,0.0,0.75
ridge_classification,pancreas,0,2,0.0,0.5
svm,pancreas,1,3,0.25,0.75
nn_hb,pleura,1,0,0.5,0.0
rf,pleura,0,0,0.0,0.0
ridge_classification,pleura,0,0,0.0,0.0
svm,pleura,0,0,0.0,0.0
nn_hb,pns,0,1,0.0,0.3333333432674408
rf,pns,1,0,0.3333333333333333,0.0
ridge_classification,pns,2,0,0.6666666666666666,0.0
svm,pns,2,0,0.6666666666666666,0.0
nn_hb,prostate,0,1,0.0,1.0
rf,prostate,0,1,0.0,1.0
ridge_classification,prostate,0,0,0.0,0.0
svm,prostate,0,1,0.0,1.0
nn_hb,skin,4,2,0.5714285771052042,0.2857142885526021
rf,skin,1,2,0.14285714285714285,0.2857142857142857
ridge_classification,skin,1,1,0.14285714285714285,0.14285714285714285
svm,skin,2,3,0.28571428571428575,0.42857142857142855
nn_hb,thyroid,0,0,0.0,0.0
rf,thyroid,1,0,0.3333333333333333,0.0
ridge_classification,thyroid,2,0,0.6666666666666666,0.0
svm,thyroid,0,0,0.0,0.0
nn_hb,uterus,0,0,0.0,0.0
rf,uterus,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,uterus,0,0,0.0,0.0
svm,uterus,0,1,0.0,0.3333333333333333
