model,variable,value,tissue
nn_hb,rocauc,0.5650470219435737,all_tissues
rf,rocauc,0.5035266457680251,all_tissues
ridge_classification,rocauc,0.48275862068965514,all_tissues
svm,rocauc,0.52076802507837,all_tissues
nn_hb,rocauc,0.0,bladder/urinary
rf,rocauc,0.5,bladder/urinary
ridge_classification,rocauc,0.25,bladder/urinary
svm,rocauc,0.5,bladder/urinary
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.5,bone
svm,rocauc,0.5,bone
nn_hb,rocauc,0.6666666666666666,bowel
rf,rocauc,0.5416666666666667,bowel
ridge_classification,rocauc,0.25,bowel
svm,rocauc,0.5416666666666667,bowel
nn_hb,rocauc,0.6666666666666666,breast
rf,rocauc,0.6666666666666667,breast
ridge_classification,rocauc,0.75,breast
svm,rocauc,0.5833333333333333,breast
nn_hb,rocauc,0.0,cervix
rf,rocauc,0.0,cervix
ridge_classification,rocauc,0.0,cervix
svm,rocauc,0.0,cervix
nn_hb,rocauc,0.3333333333333333,cns/brain
rf,rocauc,0.8333333333333333,cns/brain
ridge_classification,rocauc,0.6666666666666666,cns/brain
svm,rocauc,0.16666666666666666,cns/brain
nn_hb,rocauc,0.5,esophagus/stomach
rf,rocauc,0.7083333333333334,esophagus/stomach
ridge_classification,rocauc,0.5416666666666667,esophagus/stomach
svm,rocauc,0.25,esophagus/stomach
nn_hb,rocauc,0.0,fibroblast
rf,rocauc,0.0,fibroblast
ridge_classification,rocauc,0.0,fibroblast
svm,rocauc,0.0,fibroblast
nn_hb,rocauc,1.0,kidney
rf,rocauc,0.5,kidney
ridge_classification,rocauc,1.0,kidney
svm,rocauc,1.0,kidney
nn_hb,rocauc,0.5,liver
rf,rocauc,0.0,liver
ridge_classification,rocauc,0.75,liver
svm,rocauc,0.25,liver
nn_hb,rocauc,0.6923076923076923,lung
rf,rocauc,0.5448717948717948,lung
ridge_classification,rocauc,0.43910256410256415,lung
svm,rocauc,0.5128205128205129,lung
nn_hb,rocauc,0.5714285714285714,lymphoid
rf,rocauc,0.5,lymphoid
ridge_classification,rocauc,0.7142857142857143,lymphoid
svm,rocauc,0.7142857142857143,lymphoid
nn_hb,rocauc,0.5,myeloid
rf,rocauc,0.5,myeloid
ridge_classification,rocauc,0.75,myeloid
svm,rocauc,0.5,myeloid
nn_hb,rocauc,0.5,ovary/fallopian
rf,rocauc,0.75,ovary/fallopian
ridge_classification,rocauc,0.5,ovary/fallopian
svm,rocauc,0.75,ovary/fallopian
nn_hb,rocauc,0.3333333333333333,pancreas
rf,rocauc,0.5,pancreas
ridge_classification,rocauc,0.3333333333333333,pancreas
svm,rocauc,1.0,pancreas
nn_hb,rocauc,1.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.0,pleura
svm,rocauc,0.0,pleura
nn_hb,rocauc,0.5,pns
rf,rocauc,0.25,pns
ridge_classification,rocauc,0.5,pns
svm,rocauc,0.5,pns
nn_hb,rocauc,0.0,prostate
rf,rocauc,0.0,prostate
ridge_classification,rocauc,0.0,prostate
svm,rocauc,0.0,prostate
nn_hb,rocauc,0.9166666666666666,skin
rf,rocauc,0.4583333333333333,skin
ridge_classification,rocauc,0.29166666666666663,skin
svm,rocauc,0.75,skin
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
svm,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,uterus
rf,rocauc,0.75,uterus
ridge_classification,rocauc,0.0,uterus
svm,rocauc,0.5,uterus
