model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,18,37,0.17647058747031472,0.362745096466758
rf,all_tissues,27,32,0.2647058823529412,0.3137254901960785
ridge_classification,all_tissues,27,29,0.2647058823529412,0.2843137254901961
svm,all_tissues,19,44,0.18627450980392157,0.43137254901960786
nn_hb,bladder/urinary,1,1,0.3333333432674408,0.3333333432674408
rf,bladder/urinary,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,bladder/urinary,1,0,0.3333333333333333,0.0
svm,bladder/urinary,1,1,0.3333333333333333,0.3333333333333333
nn_hb,bone,1,0,0.5,0.0
rf,bone,1,0,0.5,0.0
ridge_classification,bone,1,0,0.5,0.0
svm,bone,0,0,0.0,0.0
nn_hb,bowel,0,3,0.0,0.4285714328289032
rf,bowel,0,3,0.0,0.42857142857142855
ridge_classification,bowel,0,3,0.0,0.42857142857142855
svm,bowel,0,3,0.0,0.42857142857142855
nn_hb,breast,1,6,0.125,0.75
rf,breast,0,6,0.0,0.75
ridge_classification,breast,2,4,0.25,0.5
svm,breast,0,6,0.0,0.75
nn_hb,cervix,0,1,0.0,1.0
rf,cervix,0,1,0.0,1.0
ridge_classification,cervix,0,0,0.0,0.0
svm,cervix,0,1,0.0,1.0
nn_hb,cns/brain,1,1,0.25,0.25
rf,cns/brain,1,0,0.25,0.0
ridge_classification,cns/brain,1,0,0.25,0.0
svm,cns/brain,1,0,0.25,0.0
nn_hb,esophagus/stomach,1,4,0.14285714626312257,0.5714285850524903
rf,esophagus/stomach,2,3,0.28571428571428575,0.42857142857142855
ridge_classification,esophagus/stomach,1,1,0.14285714285714285,0.14285714285714285
svm,esophagus/stomach,2,4,0.2857142857142857,0.5714285714285714
nn_hb,fibroblast,1,0,1.0,0.0
rf,fibroblast,1,0,1.0,0.0
ridge_classification,fibroblast,1,0,1.0,0.0
svm,fibroblast,1,0,1.0,0.0
nn_hb,kidney,2,0,0.6666666865348816,0.0
rf,kidney,2,0,0.6666666666666666,0.0
ridge_classification,kidney,2,0,0.6666666666666666,0.0
svm,kidney,1,1,0.3333333333333333,0.3333333333333333
nn_hb,liver,1,0,0.3333333432674408,0.0
rf,liver,1,0,0.3333333333333333,0.0
ridge_classification,liver,1,1,0.3333333333333333,0.3333333333333333
svm,liver,1,1,0.3333333333333333,0.3333333333333333
nn_hb,lung,2,11,0.07999999706561749,0.43999998386089617
rf,lung,4,12,0.16,0.48
ridge_classification,lung,9,7,0.36,0.28
svm,lung,5,12,0.2,0.4800000000000001
nn_hb,lymphoid,1,3,0.125,0.375
rf,lymphoid,1,0,0.125,0.0
ridge_classification,lymphoid,1,4,0.125,0.5
svm,lymphoid,0,6,0.0,0.75
nn_hb,myeloid,1,1,0.25,0.25
rf,myeloid,2,0,0.5,0.0
ridge_classification,myeloid,0,1,0.0,0.25
svm,myeloid,2,1,0.5,0.25
nn_hb,ovary/fallopian,1,1,0.3333333432674408,0.3333333432674408
rf,ovary/fallopian,1,1,0.3333333333333333,0.3333333333333333
ridge_classification,ovary/fallopian,1,1,0.3333333333333333,0.3333333333333333
svm,ovary/fallopian,1,2,0.3333333333333333,0.6666666666666666
nn_hb,pancreas,0,2,0.0,0.5
rf,pancreas,0,2,0.0,0.5
ridge_classification,pancreas,0,2,0.0,0.5
svm,pancreas,0,2,0.0,0.5
nn_hb,pleura,0,0,0.0,0.0
rf,pleura,1,0,0.5,0.0
ridge_classification,pleura,1,1,0.5,0.5
svm,pleura,0,0,0.0,0.0
nn_hb,pns,1,0,0.3333333432674408,0.0
rf,pns,2,1,0.6666666666666666,0.3333333333333333
ridge_classification,pns,1,1,0.3333333333333333,0.3333333333333333
svm,pns,0,1,0.0,0.3333333333333333
nn_hb,prostate,0,1,0.0,1.0
rf,prostate,0,1,0.0,1.0
ridge_classification,prostate,0,0,0.0,0.0
svm,prostate,0,1,0.0,1.0
nn_hb,skin,2,2,0.2857142984867096,0.2857142984867096
rf,skin,4,0,0.5714285714285714,0.0
ridge_classification,skin,3,3,0.42857142857142855,0.42857142857142855
svm,skin,1,2,0.14285714285714285,0.2857142857142857
nn_hb,thyroid,0,0,0.0,0.0
rf,thyroid,3,0,1.0,0.0
ridge_classification,thyroid,0,0,0.0,0.0
svm,thyroid,1,0,0.3333333333333333,0.0
nn_hb,uterus,1,0,0.3333333432674408,0.0
rf,uterus,0,1,0.0,0.3333333333333333
ridge_classification,uterus,1,0,0.3333333333333333,0.0
svm,uterus,2,0,0.6666666666666666,0.0
