model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,uterus,0.3333333432674408,0.0,1,0
nn_hb,thyroid,0.3333333432674408,0.0,1,0
nn_hb,ovary/fallopian,0.6666666865348816,1.0,0,2
nn_hb,bladder/urinary,0.6666666865348816,1.0,1,1
nn_hb,lung,0.6000000238418579,0.608974358974359,4,11
nn_hb,bowel,0.4285714328289032,0.5833333333333333,1,2
nn_hb,myeloid,0.5,0.5,1,1
nn_hb,pns,0.6666666865348816,0.0,2,0
nn_hb,esophagus/stomach,0.4285714328289032,0.25,1,2
nn_hb,kidney,0.0,0.0,0,0
nn_hb,lymphoid,0.5,1.0,1,3
nn_hb,cns/brain,0.5,0.3333333333333333,1,1
nn_hb,fibroblast,1.0,0.0,1,0
nn_hb,bone,0.5,0.0,0,1
nn_hb,skin,0.7142857313156128,0.5833333333333334,3,2
nn_hb,liver,0.6666666865348816,1.0,1,1
nn_hb,pancreas,0.5,1.0,1,1
nn_hb,pleura,0.0,0.0,0,0
nn_hb,breast,0.625,0.5,0,5
nn_hb,prostate,1.0,0.0,0,1
nn_hb,cervix,0.0,0.0,0,0
nn_hb,all_tissues,0.529411792755127,0.5415360501567399,20,34
svm,uterus,0.6666666666666666,0.5,2,0
svm,thyroid,0.6666666666666666,0.0,2,0
svm,ovary/fallopian,1.0,1.0,1,2
svm,bladder/urinary,0.6666666666666666,0.75,1,1
svm,lung,0.6,0.592948717948718,5,10
svm,bowel,0.5714285714285714,0.5416666666666667,1,3
svm,myeloid,0.75,0.75,2,1
svm,pns,0.3333333333333333,0.5,0,1
svm,esophagus/stomach,0.42857142857142855,0.41666666666666663,1,2
svm,kidney,0.3333333333333333,0.25,1,0
svm,lymphoid,0.5,0.7142857142857143,1,3
svm,cns/brain,0.5,0.6666666666666666,1,1
svm,fibroblast,1.0,0.0,1,0
svm,bone,0.0,0.0,0,0
svm,skin,0.5714285714285714,0.5416666666666666,3,1
svm,liver,0.6666666666666666,0.75,1,1
svm,pancreas,0.5,0.6666666666666666,1,1
svm,pleura,0.5,0.5,1,0
svm,breast,0.75,0.5,0,6
svm,prostate,1.0,0.0,0,1
svm,cervix,1.0,0.0,0,1
svm,all_tissues,0.5882352941176471,0.5858150470219435,25,35
rf,uterus,0.3333333333333333,0.5,0,1
rf,thyroid,1.0,0.0,3,0
rf,ovary/fallopian,0.6666666666666666,0.75,1,1
rf,bladder/urinary,0.3333333333333333,0.25,0,1
rf,lung,0.6,0.5897435897435899,4,11
rf,bowel,0.42857142857142855,0.375,0,3
rf,myeloid,0.5,0.5,2,0
rf,pns,1.0,1.0,2,1
rf,esophagus/stomach,0.5714285714285714,0.5833333333333334,2,2
rf,kidney,0.6666666666666666,0.5,2,0
rf,lymphoid,0.125,0.5,1,0
rf,cns/brain,0.25,0.5,1,0
rf,fibroblast,1.0,0.0,1,0
rf,bone,0.5,0.5,1,0
rf,skin,0.5714285714285714,0.5,4,0
rf,liver,0.6666666666666666,0.75,1,1
rf,pancreas,0.5,0.3333333333333333,0,2
rf,pleura,0.5,0.5,1,0
rf,breast,0.75,0.5,0,6
rf,prostate,1.0,0.0,0,1
rf,cervix,1.0,0.0,0,1
rf,all_tissues,0.5588235294117647,0.5626959247648902,26,31
ridge_classification,uterus,1.0,1.0,2,1
ridge_classification,thyroid,0.6666666666666666,0.0,2,0
ridge_classification,ovary/fallopian,1.0,1.0,1,2
ridge_classification,bladder/urinary,0.0,0.0,0,0
ridge_classification,lung,0.36,0.3653846153846154,6,3
ridge_classification,bowel,0.42857142857142855,0.4583333333333334,2,1
ridge_classification,myeloid,0.5,0.5,1,1
ridge_classification,pns,0.6666666666666666,0.5,2,0
ridge_classification,esophagus/stomach,0.5714285714285714,0.5416666666666667,1,3
ridge_classification,kidney,0.3333333333333333,0.25,1,0
ridge_classification,lymphoid,0.375,0.6428571428571428,1,2
ridge_classification,cns/brain,0.25,0.5,1,0
ridge_classification,fibroblast,1.0,0.0,1,0
ridge_classification,bone,0.5,0.5,1,0
ridge_classification,skin,0.8571428571428571,0.8333333333333333,4,2
ridge_classification,liver,0.6666666666666666,0.75,1,1
ridge_classification,pancreas,0.25,0.16666666666666666,0,1
ridge_classification,pleura,0.0,0.0,0,0
ridge_classification,breast,0.5,0.5,1,3
ridge_classification,prostate,1.0,0.0,0,1
ridge_classification,cervix,1.0,0.0,0,1
ridge_classification,all_tissues,0.49019607843137253,0.5078369905956113,28,22
