model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,25,33,0.24509805029836193,0.3235294263938378
rf,all_tissues,33,32,0.32352941176470584,0.3137254901960784
ridge_classification,all_tissues,27,31,0.2647058823529412,0.30392156862745096
nn_hb,autonomic,1,0,0.3333333432674408,0.0
rf,autonomic,3,0,1.0,0.0
ridge_classification,autonomic,2,0,0.6666666666666666,0.0
nn_hb,bone,0,1,0.0,1.0
rf,bone,0,1,0.0,1.0
ridge_classification,bone,0,1,0.0,1.0
nn_hb,breast,1,5,0.125,0.625
rf,breast,0,6,0.0,0.75
ridge_classification,breast,1,5,0.125,0.625
nn_hb,central,2,1,0.4000000158945719,0.20000000794728595
rf,central,2,0,0.4,0.0
ridge_classification,central,2,1,0.39999999999999997,0.19999999999999998
nn_hb,endometrium,0,0,0.0,0.0
rf,endometrium,0,0,0.0,0.0
ridge_classification,endometrium,0,0,0.0,0.0
nn_hb,haematopoietic,4,3,0.2857142857142857,0.21428571428571427
rf,haematopoietic,5,1,0.35714285714285715,0.07142857142857142
ridge_classification,haematopoietic,3,2,0.21428571428571427,0.14285714285714288
nn_hb,kidney,0,0,0.0,0.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,1,0.0,1.0
nn_hb,large,1,3,0.1428571492433548,0.4285714477300644
rf,large,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,large,2,2,0.2857142857142857,0.2857142857142857
nn_hb,liver,1,0,0.25,0.0
rf,liver,2,2,0.5,0.5
ridge_classification,liver,2,0,0.5,0.0
nn_hb,lung,2,11,0.11111110907334548,0.6111110999034001
rf,lung,3,12,0.16666666666666669,0.6666666666666667
ridge_classification,lung,2,9,0.11111111111111112,0.5000000000000001
nn_hb,oesophagus,1,2,0.16666666666666666,0.3333333333333333
rf,oesophagus,3,1,0.5,0.16666666666666666
ridge_classification,oesophagus,0,2,0.0,0.3333333333333333
nn_hb,ovary,2,0,0.5,0.0
rf,ovary,2,1,0.5,0.25
ridge_classification,ovary,2,0,0.5,0.0
nn_hb,pancreas,1,1,0.1428571492433548,0.1428571492433548
rf,pancreas,2,1,0.2857142857142857,0.14285714285714285
ridge_classification,pancreas,2,1,0.2857142857142857,0.14285714285714285
nn_hb,pleura,1,0,0.5,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,1,0,0.5,0.0
nn_hb,skin,2,2,0.25,0.25
rf,skin,4,0,0.5,0.0
ridge_classification,skin,3,3,0.375,0.375
nn_hb,soft,2,0,1.0,0.0
rf,soft,1,0,0.5,0.0
ridge_classification,soft,2,0,1.0,0.0
nn_hb,stomach,0,2,0.0,1.0
rf,stomach,0,2,0.0,1.0
ridge_classification,stomach,0,1,0.0,0.5
nn_hb,thyroid,2,0,1.0,0.0
rf,thyroid,1,0,0.5,0.0
ridge_classification,thyroid,1,0,0.5,0.0
nn_hb,upper,0,1,0.0,0.5
rf,upper,0,1,0.0,0.5
ridge_classification,upper,0,1,0.0,0.5
nn_hb,urinary,2,1,0.4000000158945719,0.20000000794728595
rf,urinary,2,1,0.39999999999999997,0.19999999999999998
ridge_classification,urinary,2,2,0.4,0.4
