model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,17,43,0.16666667362054188,0.4215686450401942
rf,all_tissues,32,26,0.3137254901960784,0.2549019607843137
ridge_classification,all_tissues,24,34,0.23529411764705882,0.3333333333333333
nn_hb,autonomic,2,0,0.6666666865348816,0.0
rf,autonomic,2,0,0.6666666666666666,0.0
ridge_classification,autonomic,3,0,1.0,0.0
nn_hb,bone,0,1,0.0,1.0
rf,bone,0,0,0.0,0.0
ridge_classification,bone,0,0,0.0,0.0
nn_hb,breast,0,6,0.0,0.75
rf,breast,0,6,0.0,0.75
ridge_classification,breast,2,4,0.25,0.5
nn_hb,central,2,1,0.4000000158945719,0.20000000794728595
rf,central,2,0,0.4,0.0
ridge_classification,central,1,3,0.2,0.6000000000000001
nn_hb,endometrium,0,1,0.0,1.0
rf,endometrium,0,0,0.0,0.0
ridge_classification,endometrium,0,0,0.0,0.0
nn_hb,haematopoietic,0,5,0.0,0.3571428656578064
rf,haematopoietic,4,0,0.2857142857142857,0.0
ridge_classification,haematopoietic,0,7,0.0,0.5
nn_hb,kidney,0,1,0.0,1.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,0,0.0,0.0
nn_hb,large,1,4,0.14285714626312257,0.5714285850524903
rf,large,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,large,1,2,0.14285714285714285,0.2857142857142857
nn_hb,liver,1,2,0.25,0.5
rf,liver,2,2,0.5,0.5
ridge_classification,liver,0,2,0.0,0.5
nn_hb,lung,2,11,0.11111110907334548,0.6111110999034001
rf,lung,3,9,0.16666666666666666,0.5
ridge_classification,lung,4,4,0.2222222222222222,0.2222222222222222
nn_hb,oesophagus,1,3,0.1666666716337204,0.5000000149011612
rf,oesophagus,3,1,0.5,0.16666666666666666
ridge_classification,oesophagus,1,1,0.16666666666666666,0.16666666666666666
nn_hb,ovary,0,2,0.0,0.5
rf,ovary,2,2,0.5,0.5
ridge_classification,ovary,0,2,0.0,0.5
nn_hb,pancreas,2,1,0.2857142885526021,0.14285714427630106
rf,pancreas,2,0,0.2857142857142857,0.0
ridge_classification,pancreas,2,2,0.2857142857142857,0.2857142857142857
nn_hb,pleura,2,0,1.0,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,2,0,1.0,0.0
nn_hb,skin,2,1,0.25,0.125
rf,skin,4,0,0.5,0.0
ridge_classification,skin,1,2,0.125,0.25
nn_hb,soft,1,0,0.5,0.0
rf,soft,1,0,0.5,0.0
ridge_classification,soft,2,0,1.0,0.0
nn_hb,stomach,0,2,0.0,1.0
rf,stomach,0,2,0.0,1.0
ridge_classification,stomach,0,2,0.0,1.0
nn_hb,thyroid,1,0,0.5,0.0
rf,thyroid,2,0,1.0,0.0
ridge_classification,thyroid,2,0,1.0,0.0
nn_hb,upper,0,0,0.0,0.0
rf,upper,0,0,0.0,0.0
ridge_classification,upper,0,1,0.0,0.5
nn_hb,urinary,0,2,0.0,0.4000000059604645
rf,urinary,2,1,0.39999999999999997,0.19999999999999998
ridge_classification,urinary,3,2,0.6,0.4
