model,variable,value,tissue
nn_hb,rocauc,0.7145376175548589,all_tissues
rf,rocauc,0.5141065830721003,all_tissues
ridge_classification,rocauc,0.5681818181818182,all_tissues
svm,rocauc,0.6406739811912225,all_tissues
nn_hb,rocauc,0.5,bladder/urinary
rf,rocauc,0.25,bladder/urinary
ridge_classification,rocauc,0.5,bladder/urinary
svm,rocauc,0.75,bladder/urinary
nn_hb,rocauc,0.0,bone
rf,rocauc,0.5,bone
ridge_classification,rocauc,0.5,bone
svm,rocauc,0.0,bone
nn_hb,rocauc,0.6666666666666666,bowel
rf,rocauc,0.375,bowel
ridge_classification,rocauc,0.5416666666666667,bowel
svm,rocauc,0.375,bowel
nn_hb,rocauc,0.5,breast
rf,rocauc,0.4166666666666667,breast
ridge_classification,rocauc,0.8333333333333333,breast
svm,rocauc,0.5,breast
nn_hb,rocauc,0.0,cervix
rf,rocauc,0.0,cervix
ridge_classification,rocauc,0.0,cervix
svm,rocauc,0.0,cervix
nn_hb,rocauc,0.6666666666666666,cns/brain
rf,rocauc,0.5,cns/brain
ridge_classification,rocauc,0.6666666666666666,cns/brain
svm,rocauc,0.5,cns/brain
nn_hb,rocauc,1.0,esophagus/stomach
rf,rocauc,0.7083333333333334,esophagus/stomach
ridge_classification,rocauc,0.2916666666666667,esophagus/stomach
svm,rocauc,0.8333333333333334,esophagus/stomach
nn_hb,rocauc,0.0,fibroblast
rf,rocauc,0.0,fibroblast
ridge_classification,rocauc,0.0,fibroblast
svm,rocauc,0.0,fibroblast
nn_hb,rocauc,1.0,kidney
rf,rocauc,0.25,kidney
ridge_classification,rocauc,0.5,kidney
svm,rocauc,0.75,kidney
nn_hb,rocauc,1.0,liver
rf,rocauc,0.5,liver
ridge_classification,rocauc,0.75,liver
svm,rocauc,0.75,liver
nn_hb,rocauc,0.8044871794871794,lung
rf,rocauc,0.5512820512820513,lung
ridge_classification,rocauc,0.5993589743589743,lung
svm,rocauc,0.7115384615384616,lung
nn_hb,rocauc,1.0,lymphoid
rf,rocauc,0.5,lymphoid
ridge_classification,rocauc,0.7857142857142857,lymphoid
svm,rocauc,0.42857142857142855,lymphoid
nn_hb,rocauc,0.5,myeloid
rf,rocauc,0.5,myeloid
ridge_classification,rocauc,0.25,myeloid
svm,rocauc,0.75,myeloid
nn_hb,rocauc,1.0,ovary/fallopian
rf,rocauc,0.75,ovary/fallopian
ridge_classification,rocauc,0.5,ovary/fallopian
svm,rocauc,1.0,ovary/fallopian
nn_hb,rocauc,0.6666666666666666,pancreas
rf,rocauc,0.3333333333333333,pancreas
ridge_classification,rocauc,0.8333333333333333,pancreas
svm,rocauc,0.3333333333333333,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.5,pleura
svm,rocauc,0.0,pleura
nn_hb,rocauc,1.0,pns
rf,rocauc,1.0,pns
ridge_classification,rocauc,1.0,pns
svm,rocauc,0.75,pns
nn_hb,rocauc,0.0,prostate
rf,rocauc,0.0,prostate
ridge_classification,rocauc,0.0,prostate
svm,rocauc,0.0,prostate
nn_hb,rocauc,0.5,skin
rf,rocauc,0.5,skin
ridge_classification,rocauc,0.7083333333333334,skin
svm,rocauc,0.5833333333333333,skin
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
svm,rocauc,0.0,thyroid
nn_hb,rocauc,0.5,uterus
rf,rocauc,0.0,uterus
ridge_classification,rocauc,0.25,uterus
svm,rocauc,0.5,uterus
