model,tissue,acc,rocauc
dt,all_tissues,0.7747747747747747,0.6799450549450549
gbdt,all_tissues,0.8828828828828829,0.7376373626373626
nn,all_tissues,0.8738738894462585,0.8736263736263735
nn_hb,all_tissues,0.9369369149208069,0.6167582417582418
rf,all_tissues,0.9009009009009009,0.7472527472527472
ridge,all_tissues,0.7927927927927928,0.4230769230769231
dt,aero_dig_tract,1.0,0.0
gbdt,aero_dig_tract,1.0,0.0
nn,aero_dig_tract,1.0,0.0
nn_hb,aero_dig_tract,1.0,0.0
rf,aero_dig_tract,1.0,0.0
ridge,aero_dig_tract,1.0,0.0
dt,breast,0.2222222222222222,0.0
gbdt,breast,1.0,0.0
nn,breast,1.0,0.0
nn_hb,breast,1.0,0.0
rf,breast,1.0,0.0
ridge,breast,0.4444444444444444,0.0
dt,digestive_system,0.8571428571428571,0.5
gbdt,digestive_system,0.8571428571428571,0.5
nn,digestive_system,1.0,1.0
nn_hb,digestive_system,0.8571428656578064,1.0
rf,digestive_system,0.8571428571428571,0.5
ridge,digestive_system,0.8571428571428571,0.5
dt,kidney,1.0,0.0
gbdt,kidney,1.0,0.0
nn,kidney,1.0,0.0
nn_hb,kidney,1.0,0.0
rf,kidney,1.0,0.0
ridge,kidney,1.0,0.0
dt,large_intestine,0.8571428571428571,0.0
gbdt,large_intestine,1.0,0.0
nn,large_intestine,0.8571428656578064,0.0
nn_hb,large_intestine,1.0,0.0
rf,large_intestine,1.0,0.0
ridge,large_intestine,0.8571428571428571,0.0
dt,leukemia,0.5,0.5
gbdt,leukemia,0.5,0.5
nn,leukemia,0.5,0.4444444444444444
nn_hb,leukemia,0.5,0.33333333333333337
rf,leukemia,0.5,0.5
ridge,leukemia,0.16666666666666666,0.16666666666666666
dt,lung,1.0,0.0
gbdt,lung,1.0,0.0
nn,lung,1.0,0.0
nn_hb,lung,1.0,0.0
rf,lung,1.0,0.0
ridge,lung,1.0,0.0
dt,lung_NSCLC,0.7777777777777778,0.0
gbdt,lung_NSCLC,0.7777777777777778,0.0
nn,lung_NSCLC,0.8888888955116272,0.0
nn_hb,lung_NSCLC,1.0,0.0
rf,lung_NSCLC,0.9444444444444444,0.0
ridge,lung_NSCLC,0.8888888888888888,0.0
dt,lung_SCLC,0.6666666666666666,0.8125
gbdt,lung_SCLC,1.0,1.0
nn,lung_SCLC,0.8888888955116272,0.5
nn_hb,lung_SCLC,0.8888888955116272,0.625
rf,lung_SCLC,0.8888888888888888,0.5
ridge,lung_SCLC,0.5555555555555556,0.3125
dt,lymphoma,0.5,0.5
gbdt,lymphoma,0.6666666666666666,0.625
nn,lymphoma,0.3333333432674408,0.625
nn_hb,lymphoma,0.6666666865348816,0.625
rf,lymphoma,0.5,0.5
ridge,lymphoma,0.5,0.375
dt,myeloma,0.0,0.0
gbdt,myeloma,0.0,0.0
nn,myeloma,0.5,0.0
nn_hb,myeloma,1.0,0.0
rf,myeloma,0.0,0.0
ridge,myeloma,1.0,0.0
dt,nervous_system,1.0,0.0
gbdt,nervous_system,1.0,0.0
nn,nervous_system,1.0,0.0
nn_hb,nervous_system,1.0,0.0
rf,nervous_system,1.0,0.0
ridge,nervous_system,1.0,0.0
dt,pancreas,1.0,0.0
gbdt,pancreas,1.0,0.0
nn,pancreas,0.8333333134651184,0.0
nn_hb,pancreas,1.0,0.0
rf,pancreas,1.0,0.0
ridge,pancreas,1.0,0.0
dt,skin,0.8571428571428571,0.0
gbdt,skin,0.8571428571428571,0.0
nn,skin,1.0,0.0
nn_hb,skin,1.0,0.0
rf,skin,1.0,0.0
ridge,skin,1.0,0.0
dt,soft_tissue,1.0,0.0
gbdt,soft_tissue,1.0,0.0
nn,soft_tissue,1.0,0.0
nn_hb,soft_tissue,1.0,0.0
rf,soft_tissue,1.0,0.0
ridge,soft_tissue,1.0,0.0
dt,thyroid,1.0,0.0
gbdt,thyroid,1.0,0.0
nn,thyroid,1.0,0.0
nn_hb,thyroid,1.0,0.0
rf,thyroid,1.0,0.0
ridge,thyroid,1.0,0.0
dt,urogenital_system,1.0,0.0
gbdt,urogenital_system,1.0,0.0
nn,urogenital_system,0.8888888955116272,0.0
nn_hb,urogenital_system,1.0,0.0
rf,urogenital_system,1.0,0.0
ridge,urogenital_system,0.7777777777777778,0.0
