model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,central,0.6000000238418579,0.8333333333333333,0,3
nn_hb,thyroid,1.0,0.0,2,0
nn_hb,lung,0.7222222089767456,0.8,4,9
nn_hb,pleura,1.0,0.0,2,0
nn_hb,haematopoietic,0.4285714328289032,0.5999999999999999,3,3
nn_hb,skin,0.375,0.8,0,3
nn_hb,pancreas,0.2857142984867096,0.3333333333333333,1,1
nn_hb,large,0.7142857313156128,0.8333333333333334,1,4
nn_hb,oesophagus,0.3333333432674408,0.22222222222222224,1,1
nn_hb,ovary,0.0,0.0,0,0
nn_hb,urinary,0.6000000238418579,1.0,1,2
nn_hb,autonomic,1.0,0.0,3,0
nn_hb,liver,0.25,0.5,1,0
nn_hb,soft,0.5,0.0,1,0
nn_hb,stomach,1.0,0.0,0,2
nn_hb,kidney,1.0,0.0,0,1
nn_hb,bone,1.0,0.0,0,1
nn_hb,endometrium,1.0,0.0,0,1
nn_hb,upper,1.0,0.0,0,2
nn_hb,breast,0.875,0.8333333333333333,1,6
nn_hb,all_tissues,0.5882353186607361,0.646588693957115,21,39
rf,central,0.6,0.6666666666666666,2,1
rf,thyroid,1.0,0.0,2,0
rf,lung,0.7222222222222222,0.6846153846153846,3,10
rf,pleura,1.0,0.0,2,0
rf,haematopoietic,0.5714285714285714,0.6666666666666666,5,3
rf,skin,0.625,0.7,2,3
rf,pancreas,0.42857142857142855,0.41666666666666663,2,1
rf,large,0.7142857142857143,0.6666666666666667,1,4
rf,oesophagus,0.8333333333333334,0.8333333333333333,3,2
rf,ovary,0.5,0.5,1,1
rf,urinary,0.4,0.41666666666666663,1,1
rf,autonomic,0.6666666666666666,0.0,2,0
rf,liver,0.5,0.5,2,0
rf,soft,1.0,0.0,2,0
rf,stomach,0.5,0.0,0,1
rf,kidney,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,endometrium,1.0,0.0,0,1
rf,upper,0.5,0.0,0,1
rf,breast,0.75,0.5,0,6
rf,all_tissues,0.6372549019607843,0.6403508771929826,30,35
ridge_classification,central,0.8,0.8333333333333333,2,2
ridge_classification,thyroid,0.5,0.0,1,0
ridge_classification,lung,0.6666666666666666,0.5846153846153846,2,10
ridge_classification,pleura,1.0,0.0,2,0
ridge_classification,haematopoietic,0.6428571428571429,0.6333333333333333,3,6
ridge_classification,skin,0.5,0.6,1,3
ridge_classification,pancreas,0.42857142857142855,0.41666666666666663,2,1
ridge_classification,large,0.7142857142857143,0.6666666666666667,1,4
ridge_classification,oesophagus,0.6666666666666666,0.6666666666666667,2,2
ridge_classification,ovary,0.5,0.5,1,1
ridge_classification,urinary,0.8,0.8333333333333334,2,2
ridge_classification,autonomic,1.0,0.0,3,0
ridge_classification,liver,0.5,0.5,2,0
ridge_classification,soft,1.0,0.0,2,0
ridge_classification,stomach,0.5,0.0,0,1
ridge_classification,kidney,1.0,0.0,0,1
ridge_classification,bone,1.0,0.0,0,1
ridge_classification,endometrium,0.0,0.0,0,0
ridge_classification,upper,0.5,0.0,0,1
ridge_classification,breast,0.75,0.5,0,6
ridge_classification,all_tissues,0.6568627450980392,0.6485380116959064,26,41
