model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,21,39,0.2058823615312576,0.3823529571294785
rf,all_tissues,30,35,0.29411764705882354,0.34313725490196073
ridge_classification,all_tissues,26,41,0.2549019607843137,0.4019607843137255
nn_hb,autonomic,3,0,1.0,0.0
rf,autonomic,2,0,0.6666666666666666,0.0
ridge_classification,autonomic,3,0,1.0,0.0
nn_hb,bone,0,1,0.0,1.0
rf,bone,0,0,0.0,0.0
ridge_classification,bone,0,1,0.0,1.0
nn_hb,breast,1,6,0.125,0.75
rf,breast,0,6,0.0,0.75
ridge_classification,breast,0,6,0.0,0.75
nn_hb,central,0,3,0.0,0.6000000238418579
rf,central,2,1,0.39999999999999997,0.19999999999999998
ridge_classification,central,2,2,0.4,0.4
nn_hb,endometrium,0,1,0.0,1.0
rf,endometrium,0,1,0.0,1.0
ridge_classification,endometrium,0,0,0.0,0.0
nn_hb,haematopoietic,3,3,0.2142857164144516,0.2142857164144516
rf,haematopoietic,5,3,0.3571428571428571,0.21428571428571427
ridge_classification,haematopoietic,3,6,0.2142857142857143,0.4285714285714286
nn_hb,kidney,0,1,0.0,1.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,1,0.0,1.0
nn_hb,large,1,4,0.14285714626312257,0.5714285850524903
rf,large,1,4,0.14285714285714288,0.5714285714285715
ridge_classification,large,1,4,0.14285714285714288,0.5714285714285715
nn_hb,liver,1,0,0.25,0.0
rf,liver,2,0,0.5,0.0
ridge_classification,liver,2,0,0.5,0.0
nn_hb,lung,4,9,0.22222221814669096,0.49999999083005464
rf,lung,3,10,0.16666666666666669,0.5555555555555556
ridge_classification,lung,2,10,0.1111111111111111,0.5555555555555556
nn_hb,oesophagus,1,1,0.1666666716337204,0.1666666716337204
rf,oesophagus,3,2,0.5,0.33333333333333337
ridge_classification,oesophagus,2,2,0.3333333333333333,0.3333333333333333
nn_hb,ovary,0,0,0.0,0.0
rf,ovary,1,1,0.25,0.25
ridge_classification,ovary,1,1,0.25,0.25
nn_hb,pancreas,1,1,0.1428571492433548,0.1428571492433548
rf,pancreas,2,1,0.2857142857142857,0.14285714285714285
ridge_classification,pancreas,2,1,0.2857142857142857,0.14285714285714285
nn_hb,pleura,2,0,1.0,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,2,0,1.0,0.0
nn_hb,skin,0,3,0.0,0.375
rf,skin,2,3,0.25,0.375
ridge_classification,skin,1,3,0.125,0.375
nn_hb,soft,1,0,0.5,0.0
rf,soft,2,0,1.0,0.0
ridge_classification,soft,2,0,1.0,0.0
nn_hb,stomach,0,2,0.0,1.0
rf,stomach,0,1,0.0,0.5
ridge_classification,stomach,0,1,0.0,0.5
nn_hb,thyroid,2,0,1.0,0.0
rf,thyroid,2,0,1.0,0.0
ridge_classification,thyroid,1,0,0.5,0.0
nn_hb,upper,0,2,0.0,1.0
rf,upper,0,1,0.0,0.5
ridge_classification,upper,0,1,0.0,0.5
nn_hb,urinary,1,2,0.20000000794728595,0.4000000158945719
rf,urinary,1,1,0.2,0.2
ridge_classification,urinary,2,2,0.4,0.4
