model,variable,value,tissue
nn_hb,rocauc,0.646588693957115,all_tissues
rf,rocauc,0.6403508771929826,all_tissues
ridge_classification,rocauc,0.6485380116959064,all_tissues
nn_hb,rocauc,0.0,autonomic
rf,rocauc,0.0,autonomic
ridge_classification,rocauc,0.0,autonomic
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.0,bone
nn_hb,rocauc,0.8333333333333333,breast
rf,rocauc,0.5,breast
ridge_classification,rocauc,0.5,breast
nn_hb,rocauc,0.8333333333333333,central
rf,rocauc,0.6666666666666666,central
ridge_classification,rocauc,0.8333333333333333,central
nn_hb,rocauc,0.0,endometrium
rf,rocauc,0.0,endometrium
ridge_classification,rocauc,0.0,endometrium
nn_hb,rocauc,0.5999999999999999,haematopoietic
rf,rocauc,0.6666666666666666,haematopoietic
ridge_classification,rocauc,0.6333333333333333,haematopoietic
nn_hb,rocauc,0.0,kidney
rf,rocauc,0.0,kidney
ridge_classification,rocauc,0.0,kidney
nn_hb,rocauc,0.8333333333333334,large
rf,rocauc,0.6666666666666667,large
ridge_classification,rocauc,0.6666666666666667,large
nn_hb,rocauc,0.5,liver
rf,rocauc,0.5,liver
ridge_classification,rocauc,0.5,liver
nn_hb,rocauc,0.8,lung
rf,rocauc,0.6846153846153846,lung
ridge_classification,rocauc,0.5846153846153846,lung
nn_hb,rocauc,0.22222222222222224,oesophagus
rf,rocauc,0.8333333333333333,oesophagus
ridge_classification,rocauc,0.6666666666666667,oesophagus
nn_hb,rocauc,0.0,ovary
rf,rocauc,0.5,ovary
ridge_classification,rocauc,0.5,ovary
nn_hb,rocauc,0.3333333333333333,pancreas
rf,rocauc,0.41666666666666663,pancreas
ridge_classification,rocauc,0.41666666666666663,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.0,pleura
nn_hb,rocauc,0.8,skin
rf,rocauc,0.7,skin
ridge_classification,rocauc,0.6,skin
nn_hb,rocauc,0.0,soft
rf,rocauc,0.0,soft
ridge_classification,rocauc,0.0,soft
nn_hb,rocauc,0.0,stomach
rf,rocauc,0.0,stomach
ridge_classification,rocauc,0.0,stomach
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,upper
rf,rocauc,0.0,upper
ridge_classification,rocauc,0.0,upper
nn_hb,rocauc,1.0,urinary
rf,rocauc,0.41666666666666663,urinary
ridge_classification,rocauc,0.8333333333333334,urinary
