model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,central,0.4000000059604645,0.8333333333333333,2,0
nn_hb,thyroid,0.0,0.0,0,0
nn_hb,lung,0.7777777910232544,0.8,5,9
nn_hb,pleura,1.0,0.0,2,0
nn_hb,haematopoietic,0.3571428656578064,0.4222222222222222,5,0
nn_hb,skin,0.75,0.6,3,3
nn_hb,pancreas,0.4285714328289032,0.3333333333333333,2,1
nn_hb,large,0.7142857313156128,0.75,2,3
nn_hb,oesophagus,0.6666666865348816,0.6666666666666666,2,2
nn_hb,ovary,0.25,0.0,1,0
nn_hb,urinary,1.0,1.0,3,2
nn_hb,autonomic,1.0,0.0,3,0
nn_hb,liver,0.75,0.5,2,1
nn_hb,soft,1.0,0.0,2,0
nn_hb,stomach,0.5,0.0,0,1
nn_hb,kidney,0.0,0.0,0,0
nn_hb,bone,0.0,0.0,0,0
nn_hb,endometrium,1.0,0.0,0,1
nn_hb,upper,0.5,0.0,0,1
nn_hb,breast,0.75,0.41666666666666663,0,6
nn_hb,all_tissues,0.6274510025978088,0.5925925925925926,34,30
rf,central,0.4,0.5,2,0
rf,thyroid,0.5,0.0,1,0
rf,lung,0.7222222222222222,0.6230769230769231,2,11
rf,pleura,1.0,0.0,2,0
rf,haematopoietic,0.5,0.6111111111111112,5,2
rf,skin,0.5,0.6,1,3
rf,pancreas,0.7142857142857143,0.7083333333333334,3,2
rf,large,0.5714285714285714,0.5416666666666667,1,3
rf,oesophagus,0.6666666666666666,0.6666666666666667,1,3
rf,ovary,0.75,0.75,2,1
rf,urinary,0.4,0.5,0,2
rf,autonomic,0.6666666666666666,0.0,2,0
rf,liver,0.75,0.75,2,1
rf,soft,1.0,0.0,2,0
rf,stomach,1.0,0.0,0,2
rf,kidney,0.0,0.0,0,0
rf,bone,1.0,0.0,0,1
rf,endometrium,1.0,0.0,0,1
rf,upper,1.0,0.0,0,2
rf,breast,0.75,0.5,0,6
rf,all_tissues,0.6470588235294118,0.639766081871345,26,40
ridge_classification,central,0.2,0.16666666666666666,0,1
ridge_classification,thyroid,0.0,0.0,0,0
ridge_classification,lung,0.6111111111111112,0.5461538461538462,2,9
ridge_classification,pleura,1.0,0.0,2,0
ridge_classification,haematopoietic,0.7857142857142857,0.788888888888889,4,7
ridge_classification,skin,0.75,0.7333333333333333,4,2
ridge_classification,pancreas,0.2857142857142857,0.25,2,0
ridge_classification,large,0.5714285714285714,0.5416666666666667,1,3
ridge_classification,oesophagus,0.8333333333333334,0.8333333333333334,2,3
ridge_classification,ovary,0.25,0.25,0,1
ridge_classification,urinary,0.6,0.6666666666666667,1,2
ridge_classification,autonomic,0.6666666666666666,0.0,2,0
ridge_classification,liver,1.0,1.0,2,2
ridge_classification,soft,0.5,0.0,1,0
ridge_classification,stomach,0.5,0.0,0,1
ridge_classification,kidney,0.0,0.0,0,0
ridge_classification,bone,1.0,0.0,0,1
ridge_classification,endometrium,1.0,0.0,0,1
ridge_classification,upper,0.0,0.0,0,0
ridge_classification,breast,0.875,0.75,1,6
ridge_classification,all_tissues,0.6176470588235294,0.6087719298245613,24,39
