model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,34,30,0.33333334513008595,0.2941176574677229
rf,all_tissues,26,40,0.2549019607843137,0.3921568627450981
ridge_classification,all_tissues,24,39,0.23529411764705882,0.3823529411764706
nn_hb,autonomic,3,0,1.0,0.0
rf,autonomic,2,0,0.6666666666666666,0.0
ridge_classification,autonomic,2,0,0.6666666666666666,0.0
nn_hb,bone,0,0,0.0,0.0
rf,bone,0,1,0.0,1.0
ridge_classification,bone,0,1,0.0,1.0
nn_hb,breast,0,6,0.0,0.75
rf,breast,0,6,0.0,0.75
ridge_classification,breast,1,6,0.125,0.75
nn_hb,central,2,0,0.4000000059604645,0.0
rf,central,2,0,0.4,0.0
ridge_classification,central,0,1,0.0,0.2
nn_hb,endometrium,0,1,0.0,1.0
rf,endometrium,0,1,0.0,1.0
ridge_classification,endometrium,0,1,0.0,1.0
nn_hb,haematopoietic,5,0,0.3571428656578064,0.0
rf,haematopoietic,5,2,0.35714285714285715,0.14285714285714285
ridge_classification,haematopoietic,4,7,0.2857142857142857,0.5
nn_hb,kidney,0,0,0.0,0.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,0,0.0,0.0
nn_hb,large,2,3,0.28571429252624514,0.42857143878936765
rf,large,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,large,1,3,0.14285714285714285,0.42857142857142855
nn_hb,liver,2,1,0.5,0.25
rf,liver,2,1,0.5,0.25
ridge_classification,liver,2,2,0.5,0.5
nn_hb,lung,5,9,0.27777778250830515,0.5000000085149493
rf,lung,2,11,0.11111111111111112,0.611111111111111
ridge_classification,lung,2,9,0.11111111111111112,0.5000000000000001
nn_hb,oesophagus,2,2,0.3333333432674408,0.3333333432674408
rf,oesophagus,1,3,0.16666666666666666,0.5
ridge_classification,oesophagus,2,3,0.33333333333333337,0.5
nn_hb,ovary,1,0,0.25,0.0
rf,ovary,2,1,0.5,0.25
ridge_classification,ovary,0,1,0.0,0.25
nn_hb,pancreas,2,1,0.2857142885526021,0.14285714427630106
rf,pancreas,3,2,0.42857142857142855,0.28571428571428575
ridge_classification,pancreas,2,0,0.2857142857142857,0.0
nn_hb,pleura,2,0,1.0,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,2,0,1.0,0.0
nn_hb,skin,3,3,0.375,0.375
rf,skin,1,3,0.125,0.375
ridge_classification,skin,4,2,0.5,0.25
nn_hb,soft,2,0,1.0,0.0
rf,soft,2,0,1.0,0.0
ridge_classification,soft,1,0,0.5,0.0
nn_hb,stomach,0,1,0.0,0.5
rf,stomach,0,2,0.0,1.0
ridge_classification,stomach,0,1,0.0,0.5
nn_hb,thyroid,0,0,0.0,0.0
rf,thyroid,1,0,0.5,0.0
ridge_classification,thyroid,0,0,0.0,0.0
nn_hb,upper,0,1,0.0,0.5
rf,upper,0,2,0.0,1.0
ridge_classification,upper,0,0,0.0,0.0
nn_hb,urinary,3,2,0.6,0.4
rf,urinary,0,2,0.0,0.4
ridge_classification,urinary,1,2,0.19999999999999998,0.39999999999999997
