model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,central,0.0,0.0,0,0
nn_hb,thyroid,0.0,0.0,0,0
nn_hb,lung,0.5555555820465088,0.6461538461538462,1,9
nn_hb,pleura,0.5,0.0,1,0
nn_hb,haematopoietic,0.5714285969734192,0.5111111111111111,4,4
nn_hb,skin,0.625,0.6666666666666666,2,3
nn_hb,pancreas,0.2857142984867096,0.25,1,1
nn_hb,large,0.2857142984867096,0.0,0,2
nn_hb,oesophagus,0.3333333432674408,0.3333333333333333,1,1
nn_hb,ovary,0.5,0.5,1,1
nn_hb,urinary,0.4000000059604645,0.6666666666666667,0,2
nn_hb,autonomic,0.3333333432674408,0.0,1,0
nn_hb,liver,0.5,0.5,1,1
nn_hb,soft,0.5,0.0,1,0
nn_hb,stomach,0.0,0.0,0,0
nn_hb,kidney,1.0,0.0,0,1
nn_hb,bone,0.0,0.0,0,0
nn_hb,endometrium,0.0,0.0,0,0
nn_hb,upper,0.0,0.0,0,0
nn_hb,breast,0.625,0.3333333333333333,0,5
nn_hb,all_tissues,0.4313725531101227,0.4475633528265107,14,30
rf,central,0.4,0.5,2,0
rf,thyroid,1.0,0.0,2,0
rf,lung,0.7777777777777778,0.7846153846153847,4,10
rf,pleura,1.0,0.0,2,0
rf,haematopoietic,0.42857142857142855,0.4666666666666666,3,3
rf,skin,0.625,0.7,2,3
rf,pancreas,0.5714285714285714,0.5416666666666666,3,1
rf,large,0.42857142857142855,0.41666666666666663,1,2
rf,oesophagus,0.3333333333333333,0.3333333333333333,0,2
rf,ovary,0.5,0.5,2,0
rf,urinary,0.4,0.41666666666666663,1,1
rf,autonomic,1.0,0.0,3,0
rf,liver,0.5,0.5,1,1
rf,soft,1.0,0.0,2,0
rf,stomach,0.0,0.0,0,0
rf,kidney,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,endometrium,1.0,0.0,0,1
rf,upper,0.5,0.0,0,1
rf,breast,0.75,0.5,0,6
rf,all_tissues,0.5784313725490197,0.5830409356725146,28,31
ridge_classification,central,0.2,0.16666666666666666,0,1
ridge_classification,thyroid,0.0,0.0,0,0
ridge_classification,lung,0.6666666666666666,0.6461538461538461,3,9
ridge_classification,pleura,0.5,0.0,1,0
ridge_classification,haematopoietic,0.42857142857142855,0.4222222222222223,2,4
ridge_classification,skin,0.5,0.6,1,3
ridge_classification,pancreas,0.42857142857142855,0.41666666666666663,2,1
ridge_classification,large,0.8571428571428571,0.875,3,3
ridge_classification,oesophagus,0.5,0.5,0,3
ridge_classification,ovary,0.5,0.5,2,0
ridge_classification,urinary,0.6,0.5833333333333334,2,1
ridge_classification,autonomic,1.0,0.0,3,0
ridge_classification,liver,0.75,0.75,2,1
ridge_classification,soft,0.0,0.0,0,0
ridge_classification,stomach,0.5,0.0,0,1
ridge_classification,kidney,1.0,0.0,0,1
ridge_classification,bone,0.0,0.0,0,0
ridge_classification,endometrium,0.0,0.0,0,0
ridge_classification,upper,1.0,0.0,0,2
ridge_classification,breast,0.5,0.3333333333333333,0,4
ridge_classification,all_tissues,0.5392156862745098,0.531578947368421,21,34
