model,tissue,n_0,n_1,acc_class0,acc_class1
nn_hb,all_tissues,22,38,0.21568628350893654,0.3725490351517995
rf,all_tissues,34,30,0.3333333333333333,0.29411764705882354
ridge_classification,all_tissues,20,35,0.19607843137254902,0.3431372549019608
nn_hb,autonomic,1,0,0.3333333432674408,0.0
rf,autonomic,2,0,0.6666666666666666,0.0
ridge_classification,autonomic,3,0,1.0,0.0
nn_hb,bone,0,1,0.0,1.0
rf,bone,0,0,0.0,0.0
ridge_classification,bone,0,0,0.0,0.0
nn_hb,breast,0,6,0.0,0.75
rf,breast,0,6,0.0,0.75
ridge_classification,breast,1,4,0.125,0.5
nn_hb,central,2,0,0.4000000059604645,0.0
rf,central,2,0,0.4,0.0
ridge_classification,central,2,3,0.4,0.6
nn_hb,endometrium,0,0,0.0,0.0
rf,endometrium,0,0,0.0,0.0
ridge_classification,endometrium,0,0,0.0,0.0
nn_hb,haematopoietic,3,3,0.2142857164144516,0.2142857164144516
rf,haematopoietic,5,2,0.35714285714285715,0.14285714285714285
ridge_classification,haematopoietic,0,5,0.0,0.35714285714285715
nn_hb,kidney,0,1,0.0,1.0
rf,kidney,0,0,0.0,0.0
ridge_classification,kidney,0,0,0.0,0.0
nn_hb,large,1,4,0.14285714626312257,0.5714285850524903
rf,large,1,3,0.14285714285714285,0.42857142857142855
ridge_classification,large,1,2,0.14285714285714285,0.2857142857142857
nn_hb,liver,1,2,0.25,0.5
rf,liver,2,1,0.5,0.25
ridge_classification,liver,0,0,0.0,0.0
nn_hb,lung,2,10,0.11111111442248026,0.5555555721124014
rf,lung,3,11,0.16666666666666666,0.6111111111111112
ridge_classification,lung,2,8,0.11111111111111112,0.4444444444444445
nn_hb,oesophagus,2,2,0.3333333432674408,0.3333333432674408
rf,oesophagus,3,2,0.5,0.33333333333333337
ridge_classification,oesophagus,0,1,0.0,0.16666666666666666
nn_hb,ovary,0,2,0.0,0.5
rf,ovary,2,1,0.5,0.25
ridge_classification,ovary,1,2,0.25,0.5
nn_hb,pancreas,2,1,0.2857142885526021,0.14285714427630106
rf,pancreas,2,0,0.2857142857142857,0.0
ridge_classification,pancreas,2,2,0.2857142857142857,0.2857142857142857
nn_hb,pleura,1,0,0.5,0.0
rf,pleura,2,0,1.0,0.0
ridge_classification,pleura,2,0,1.0,0.0
nn_hb,skin,2,2,0.25,0.25
rf,skin,5,0,0.625,0.0
ridge_classification,skin,1,3,0.125,0.375
nn_hb,soft,2,0,1.0,0.0
rf,soft,1,0,0.5,0.0
ridge_classification,soft,2,0,1.0,0.0
nn_hb,stomach,0,2,0.0,1.0
rf,stomach,0,2,0.0,1.0
ridge_classification,stomach,0,2,0.0,1.0
nn_hb,thyroid,2,0,1.0,0.0
rf,thyroid,2,0,1.0,0.0
ridge_classification,thyroid,1,0,0.5,0.0
nn_hb,upper,0,0,0.0,0.0
rf,upper,0,1,0.0,0.5
ridge_classification,upper,0,1,0.0,0.5
nn_hb,urinary,1,2,0.20000000794728595,0.4000000158945719
rf,urinary,2,1,0.39999999999999997,0.19999999999999998
ridge_classification,urinary,2,2,0.4,0.4
