model,variable,value,tissue
nn_hb,rocauc,0.5816764132553606,all_tissues
rf,rocauc,0.6409356725146198,all_tissues
ridge_classification,rocauc,0.5292397660818714,all_tissues
nn_hb,rocauc,0.0,autonomic
rf,rocauc,0.0,autonomic
ridge_classification,rocauc,0.0,autonomic
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.0,bone
nn_hb,rocauc,0.4166666666666667,breast
rf,rocauc,0.5,breast
ridge_classification,rocauc,0.5833333333333333,breast
nn_hb,rocauc,0.6666666666666666,central
rf,rocauc,0.5,central
ridge_classification,rocauc,1.0,central
nn_hb,rocauc,0.0,endometrium
rf,rocauc,0.0,endometrium
ridge_classification,rocauc,0.0,endometrium
nn_hb,rocauc,0.34444444444444444,haematopoietic
rf,rocauc,0.6111111111111112,haematopoietic
ridge_classification,rocauc,0.2777777777777778,haematopoietic
nn_hb,rocauc,0.0,kidney
rf,rocauc,0.0,kidney
ridge_classification,rocauc,0.0,kidney
nn_hb,rocauc,0.6666666666666667,large
rf,rocauc,0.5416666666666667,large
ridge_classification,rocauc,0.41666666666666663,large
nn_hb,rocauc,0.5,liver
rf,rocauc,0.75,liver
ridge_classification,rocauc,0.0,liver
nn_hb,rocauc,0.7692307692307693,lung
rf,rocauc,0.7230769230769232,lung
ridge_classification,rocauc,0.5076923076923077,lung
nn_hb,rocauc,0.7222222222222222,oesophagus
rf,rocauc,0.8333333333333333,oesophagus
ridge_classification,rocauc,0.16666666666666666,oesophagus
nn_hb,rocauc,0.75,ovary
rf,rocauc,0.75,ovary
ridge_classification,rocauc,0.75,ovary
nn_hb,rocauc,0.41666666666666663,pancreas
rf,rocauc,0.25,pancreas
ridge_classification,rocauc,0.5833333333333333,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.0,pleura
nn_hb,rocauc,0.3333333333333333,skin
rf,rocauc,0.5,skin
ridge_classification,rocauc,0.6,skin
nn_hb,rocauc,0.0,soft
rf,rocauc,0.0,soft
ridge_classification,rocauc,0.0,soft
nn_hb,rocauc,0.0,stomach
rf,rocauc,0.0,stomach
ridge_classification,rocauc,0.0,stomach
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,upper
rf,rocauc,0.0,upper
ridge_classification,rocauc,0.0,upper
nn_hb,rocauc,0.33333333333333337,urinary
rf,rocauc,0.5833333333333334,urinary
ridge_classification,rocauc,0.8333333333333334,urinary
