model,tissue,acc,rocauc,n_correctly_predicted_sensitive_cell_lines,n_correctly_predicted_resistant_cell_lines
nn_hb,central,0.6000000238418579,0.6666666666666666,2,1
nn_hb,thyroid,0.5,0.0,1,0
nn_hb,lung,0.7222222089767456,0.8615384615384616,2,11
nn_hb,pleura,1.0,0.0,2,0
nn_hb,haematopoietic,0.3571428656578064,0.13333333333333333,0,5
nn_hb,skin,0.375,0.2666666666666666,2,1
nn_hb,pancreas,0.4285714328289032,0.6666666666666666,2,1
nn_hb,large,0.7142857313156128,0.7500000000000001,1,4
nn_hb,oesophagus,0.6666666865348816,0.888888888888889,1,3
nn_hb,ovary,0.5,0.75,0,2
nn_hb,urinary,0.4000000059604645,0.33333333333333337,0,2
nn_hb,autonomic,0.6666666865348816,0.0,2,0
nn_hb,liver,0.75,1.0,1,2
nn_hb,soft,0.5,0.0,1,0
nn_hb,stomach,1.0,0.0,0,2
nn_hb,kidney,1.0,0.0,0,1
nn_hb,bone,1.0,0.0,0,1
nn_hb,endometrium,1.0,0.0,0,1
nn_hb,upper,0.0,0.0,0,0
nn_hb,breast,0.75,0.3333333333333333,0,6
nn_hb,all_tissues,0.5882353186607361,0.6436647173489279,17,43
rf,central,0.4,0.5,2,0
rf,thyroid,1.0,0.0,2,0
rf,lung,0.6666666666666666,0.6461538461538461,3,9
rf,pleura,1.0,0.0,2,0
rf,haematopoietic,0.2857142857142857,0.4,4,0
rf,skin,0.5,0.4,4,0
rf,pancreas,0.2857142857142857,0.25,2,0
rf,large,0.5714285714285714,0.5416666666666667,1,3
rf,oesophagus,0.6666666666666666,0.6666666666666666,3,1
rf,ovary,1.0,1.0,2,2
rf,urinary,0.6,0.5833333333333334,2,1
rf,autonomic,0.6666666666666666,0.0,2,0
rf,liver,1.0,1.0,2,2
rf,soft,0.5,0.0,1,0
rf,stomach,1.0,0.0,0,2
rf,kidney,0.0,0.0,0,0
rf,bone,0.0,0.0,0,0
rf,endometrium,0.0,0.0,0,0
rf,upper,0.0,0.0,0,0
rf,breast,0.75,0.5,0,6
rf,all_tissues,0.5686274509803921,0.5836257309941522,32,26
ridge_classification,central,0.8,0.75,1,3
ridge_classification,thyroid,1.0,0.0,2,0
ridge_classification,lung,0.4444444444444444,0.5538461538461539,4,4
ridge_classification,pleura,1.0,0.0,2,0
ridge_classification,haematopoietic,0.5,0.3888888888888889,0,7
ridge_classification,skin,0.375,0.43333333333333324,1,2
ridge_classification,pancreas,0.5714285714285714,0.5833333333333333,2,2
ridge_classification,large,0.42857142857142855,0.41666666666666663,1,2
ridge_classification,oesophagus,0.3333333333333333,0.33333333333333337,1,1
ridge_classification,ovary,0.5,0.5,0,2
ridge_classification,urinary,1.0,1.0,3,2
ridge_classification,autonomic,1.0,0.0,3,0
ridge_classification,liver,0.5,0.5,0,2
ridge_classification,soft,1.0,0.0,2,0
ridge_classification,stomach,1.0,0.0,0,2
ridge_classification,kidney,0.0,0.0,0,0
ridge_classification,bone,0.0,0.0,0,0
ridge_classification,endometrium,0.0,0.0,0,0
ridge_classification,upper,0.5,0.0,0,1
ridge_classification,breast,0.75,0.8333333333333333,2,4
ridge_classification,all_tissues,0.5686274509803921,0.5649122807017544,24,34
