model,variable,value,tissue
nn_hb,rocauc,0.6436647173489279,all_tissues
rf,rocauc,0.5836257309941522,all_tissues
ridge_classification,rocauc,0.5649122807017544,all_tissues
nn_hb,rocauc,0.0,autonomic
rf,rocauc,0.0,autonomic
ridge_classification,rocauc,0.0,autonomic
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.0,bone
nn_hb,rocauc,0.3333333333333333,breast
rf,rocauc,0.5,breast
ridge_classification,rocauc,0.8333333333333333,breast
nn_hb,rocauc,0.6666666666666666,central
rf,rocauc,0.5,central
ridge_classification,rocauc,0.75,central
nn_hb,rocauc,0.0,endometrium
rf,rocauc,0.0,endometrium
ridge_classification,rocauc,0.0,endometrium
nn_hb,rocauc,0.13333333333333333,haematopoietic
rf,rocauc,0.4,haematopoietic
ridge_classification,rocauc,0.3888888888888889,haematopoietic
nn_hb,rocauc,0.0,kidney
rf,rocauc,0.0,kidney
ridge_classification,rocauc,0.0,kidney
nn_hb,rocauc,0.7500000000000001,large
rf,rocauc,0.5416666666666667,large
ridge_classification,rocauc,0.41666666666666663,large
nn_hb,rocauc,1.0,liver
rf,rocauc,1.0,liver
ridge_classification,rocauc,0.5,liver
nn_hb,rocauc,0.8615384615384616,lung
rf,rocauc,0.6461538461538461,lung
ridge_classification,rocauc,0.5538461538461539,lung
nn_hb,rocauc,0.888888888888889,oesophagus
rf,rocauc,0.6666666666666666,oesophagus
ridge_classification,rocauc,0.33333333333333337,oesophagus
nn_hb,rocauc,0.75,ovary
rf,rocauc,1.0,ovary
ridge_classification,rocauc,0.5,ovary
nn_hb,rocauc,0.6666666666666666,pancreas
rf,rocauc,0.25,pancreas
ridge_classification,rocauc,0.5833333333333333,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.0,pleura
nn_hb,rocauc,0.2666666666666666,skin
rf,rocauc,0.4,skin
ridge_classification,rocauc,0.43333333333333324,skin
nn_hb,rocauc,0.0,soft
rf,rocauc,0.0,soft
ridge_classification,rocauc,0.0,soft
nn_hb,rocauc,0.0,stomach
rf,rocauc,0.0,stomach
ridge_classification,rocauc,0.0,stomach
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,upper
rf,rocauc,0.0,upper
ridge_classification,rocauc,0.0,upper
nn_hb,rocauc,0.33333333333333337,urinary
rf,rocauc,0.5833333333333334,urinary
ridge_classification,rocauc,1.0,urinary
