Cell line,Tissue,IC50
NCIH187,lung_SCLC,73.7899098972794
NCIH1304,lung_SCLC,87.12326892354254
EHEB,lymphoma,7.291446873074179
CMK,leukemia,7.179322361607543
RH18,soft_tissue,18.873088151157333
PCI38,aero_dig_tract,0.4954335703959598
SC1,lymphoma,2.4377707630558287
PFSK1,nervous_system,70.49825797933791
A673,soft_tissue,9.205609255985872
ES5,bone,15.56273072783494
ES7,bone,4.837006317895953
EW11,bone,33.67335931663705
SKES1,bone,4.916613595874307
COLO829,skin,30.310676191219564
5637,urogenital_system,69.81814967743796
RT4,urogenital_system,35.107753376649924
SW780,urogenital_system,37.54822099035258
TCCSUP,urogenital_system,268.0479815177757
C33A,urogenital_system,23.648862109092665
C4I,urogenital_system,128.6335931889487
ME180,urogenital_system,134.2139273897048
42MGBA,nervous_system,104.53249709006704
8MGBA,nervous_system,31.053111105667664
A172,nervous_system,14.564368032368755
GB1,nervous_system,83.84526359240309
T98G,nervous_system,72.70069904734108
U118MG,nervous_system,43.80386256895408
U87MG,nervous_system,30.679233730578378
YKG1,nervous_system,22.166984561252466
CHAGOK1,lung_NSCLC,95.39288548076368
NCIH720,lung_NSCLC,108.03648563216586
CALU3,lung_NSCLC,218.06757678371758
CORL23,lung_NSCLC,54.12677606942588
LK2,lung_NSCLC,181.08454107836948
NCIH1437,lung_NSCLC,6.275969656424299
NCIH1623,lung_NSCLC,82.67208502448968
NCIH1648,lung_NSCLC,8.63278357984828
NCIH1650,lung_NSCLC,206.03272182790124
NCIH1693,lung_NSCLC,70.97331774500431
NCIH1770,lung_NSCLC,49.6111198932542
NCIH1838,lung_NSCLC,497.2679422304241
NCIH2085,lung_NSCLC,187.61894169526263
NCIH2170,lung_NSCLC,23.193034580639242
NCIH2228,lung_NSCLC,105.41458456325978
NCIH2342,lung_NSCLC,213.922970652017
NCIH2347,lung_NSCLC,349.7784660707904
NCIH2405,lung_NSCLC,346.7139193514482
NCIH661,lung_NSCLC,244.00287304537338
CORL311,lung_SCLC,83.62085912227896
DMS114,lung_SCLC,108.92003618262454
DMS273,lung_SCLC,43.26634149284727
NCIH1048,lung_SCLC,119.68305017628022
NCIH1092,lung_SCLC,188.05472295078965
NCIH1694,lung_SCLC,154.2964882693081
NCIH1963,lung_SCLC,65.37454745064127
NCIH2029,lung_SCLC,123.3370682968996
NCIH209,lung_SCLC,10.935364643181964
NCIH2141,lung_SCLC,429.47090604370317
NCIH2171,lung_SCLC,30.629542977936925
NCIH2227,lung_SCLC,215.81595839060503
NCIH345,lung_SCLC,114.38626379334335
NCIH446,lung_SCLC,64.180215922311
NCIH526,lung_SCLC,75.7114951271198
NCIH64,lung_SCLC,71.73458583556103
NCIH69,lung_SCLC,17.76577760043019
NCIH82,lung_SCLC,20.71692501984854
NCIH2052,lung,109.14966349151042
SKNDZ,neuroblastoma,7.8913403498082255
SKNFI,neuroblastoma,12.670747623857094
VAESBJ,soft_tissue,26.59065930044501
VMRCLCD,lung_NSCLC,48.839675252075764
LU139,lung_SCLC,71.43879006181082
SBC5,lung_SCLC,22.424699328852213
SBC1,lung_SCLC,94.21656355099168
LU135,lung_SCLC,42.23300397125322
SKNSH,neuroblastoma,52.42460278839474
NCIH2030,lung_NSCLC,15.578721862334467
NCIH2122,lung_NSCLC,11.337898911952502
NCIH1734,lung_NSCLC,22.788453904606122
NCIH650,lung_NSCLC,124.09519838956243
T24,urogenital_system,68.28949855021503
NCIH929,myeloma,7.912058593953873
SKNAS,neuroblastoma,13.842879708928058
NCIH1299,lung_NSCLC,18.19669528776113
NCIH2087,lung_NSCLC,78.95325748880504
UMUC3,urogenital_system,111.76114946324365
SW756,urogenital_system,407.33095000713496
NCIH727,lung_NSCLC,27.05446347505288
CALU6,lung_NSCLC,13.430832544317209
LU65,lung_NSCLC,147.3677259178924
NCIH1355,lung_NSCLC,49.034787735579975
NCIH1792,lung_NSCLC,6.980398452287881
HPAFII,pancreas,322.9049475878344
MIAPACA2,pancreas,38.69099942542457
SHP77,lung_SCLC,13.02454950378726
NCIH2009,lung_NSCLC,204.9085946605786
NCIH2291,lung_NSCLC,45.19050507232861
SW1573,lung_NSCLC,83.19456323842225
TE5,aero_dig_tract,86.10306423008515
HCC1954,breast,158.2284698076501
HCC1143,breast,117.08884434372158
HCC1187,breast,72.6834710232684
HCC1395,breast,30.387641616951367
HCC1599,breast,87.34589145135809
HCC1937,breast,330.40295985314737
HCC2157,breast,86.78527808797769
HCC2218,breast,7.589350389017739
HCC38,breast,207.44889081368726
BB30HNC,aero_dig_tract,32.40818453490556
BB49HNC,aero_dig_tract,3.250162515952812
BB65RCC,kidney,77.13930938563597
BEN,lung_NSCLC,6.098964483709378
BHY,aero_dig_tract,141.0282182799587
CA922,aero_dig_tract,45.3826103620942
CADOES1,bone,10.098470734929665
CAL12T,lung_NSCLC,48.88218425828151
CAL33,aero_dig_tract,40.5349271003135
CP50MELB,skin,11.4179422531307
CP66MEL,skin,12.703277105739438
CPCN,lung_SCLC,33.72475036530984
CTV1,leukemia,3.4412610895331257
D542MG,nervous_system,189.8007808054339
DMS79,lung_SCLC,43.14959363551828
DSH1,urogenital_system,17.868207207644407
EBC1,lung_NSCLC,23.09155577888071
ECGI10,aero_dig_tract,106.40557796324312
EPLC272H,lung_NSCLC,148.3250278636389
HA7RCC,kidney,110.52812351243271
HCE4,aero_dig_tract,11.213932741977292
HO1U1,aero_dig_tract,9.539098651292583
HSC2,aero_dig_tract,21.657698929769012
IM9,myeloma,6.806526967607959
ISTSL1,lung_SCLC,37.5730109960082
ISTSL2,lung_SCLC,24.245353723618194
J82,urogenital_system,381.5038719682476
KNS62,lung_NSCLC,31.668104273104323
KOSC2,aero_dig_tract,52.78927262028389
KP4,pancreas,11.334792753213806
KYSE140,aero_dig_tract,68.29359604305162
KYSE410,aero_dig_tract,279.6620751932103
KYSE520,aero_dig_tract,396.55351482487146
KYSE70,aero_dig_tract,171.77474561564668
LB1047RCC,kidney,12.811253956580481
LB2241RCC,kidney,13.09491517139281
LB2518MEL,skin,18.859221527974515
LB373MELD,skin,12.67712261308727
LB647SCLC,lung_SCLC,66.38366385945851
LB771HNC,aero_dig_tract,108.59267979223917
LB831BLC,urogenital_system,93.53633776576233
LB996RCC,kidney,19.56789083151235
LCLC103H,lung_NSCLC,76.8492722351291
LU134A,lung_SCLC,61.65966565214593
LU165,lung_SCLC,589.0087268938654
LXF289,lung_NSCLC,31.490376776547777
MS1,lung_SCLC,53.37833756042857
MZ1PC,pancreas,417.0274304120516
MZ7MEL,skin,13.815580817253291
NCIH1563,lung_NSCLC,100.59011576444566
NCIH292,lung_NSCLC,24.417131583249787
NCIH510A,lung_SCLC,16.589882141701608
NCIH835,lung_NSCLC,15.33885267320228
PC14,lung_NSCLC,44.56362752686236
SBC3,lung_SCLC,6.866263006923458
SKMM2,myeloma,82.51655996118924
TE15,aero_dig_tract,15.385569120538095
U266,myeloma,66.45612795870757
BE2M17,neuroblastoma,23.044543110384595
KELLY,neuroblastoma,24.689770301181984
SIMA,neuroblastoma,46.17894692668833
TE1,aero_dig_tract,251.18682877529312
TE10,aero_dig_tract,75.96160384061902
TE8,aero_dig_tract,66.76146214054826
CAPAN1,pancreas,69.862568144208
OVCAR3,urogenital_system,281.5007185072187
PC3,urogenital_system,368.01842321497963
DU145,urogenital_system,383.7967056385912
HCT116,large_intestine,13.86087329397324
HCT15,large_intestine,12.645684364376907
HL60,leukemia,10.030385139596596
HT29,large_intestine,6.5712560905558925
K562,leukemia,45.71287559941928
NCIH226,lung_NSCLC,179.97860811100986
NCIH23,lung_NSCLC,255.62051975176234
NCIH460,lung_NSCLC,2.9561862247436466
NCIH522,lung_NSCLC,82.78600290002542
T47D,breast,25.389964562780587
MCF7,breast,55.06234011544922
7860,kidney,11.601634577051893
A498,kidney,57.562194112794046
A549,lung_NSCLC,7.468498687275239
ACHN,kidney,2.341774557810209
BT549,breast,125.59469300543897
CCRFCEM,leukemia,2.680885096802853
SKMEL28,skin,7.805627906540434
SKMEL2,skin,186.01866162545468
SKMEL5,skin,38.89738403867432
HS578T,breast,82.84231652646048
MOLT4,leukemia,10.766613462663395
SKOV3,urogenital_system,267.4597265370935
MDAMB231,breast,19.202356387138362
COLO205,large_intestine,5.565745844967609
SW620,large_intestine,12.331673082718527
CAKI1,kidney,6.894941315213638
RPMI8226,myeloma,10.301762529857749
SR,lymphoma,1.182592426175382
NCIH322M,lung_NSCLC,5.104890490671689
IGROV1,urogenital_system,6.9504610812359235
OVCAR5,urogenital_system,20.99646310568969
EKVX,lung_NSCLC,238.4488924633096
HCC2998,large_intestine,26.71876159227864
HOP62,lung_NSCLC,213.46331687700663
HOP92,lung_NSCLC,241.03303529271656
LOXIMVI,skin,8.789079632370084
M14,skin,16.192837259688808
UACC62,skin,25.44512060854779
UACC257,skin,38.94911302836155
RXF393,kidney,10.305131757043634
SN12C,kidney,121.54821313549695
TK10,kidney,71.34890521950412
U031,kidney,8.387051261481577
SNB75,nervous_system,91.02907855192323
U251,nervous_system,29.555918161724584
SF539,nervous_system,57.75148134103864
SF295,nervous_system,21.251787298537437
SF268,nervous_system,133.64847070727393
KM12,large_intestine,1.7630812701511862
OVCAR4,urogenital_system,360.17138946270546
OVCAR8,urogenital_system,61.482156837976255
BXPC3,pancreas,90.82013389876698
BONNA12,leukemia,3.2464529489255236
BHT101,thyroid,28.343507738064194
BECKER,nervous_system,17.90188473926158
BE13,leukemia,3.1459691547660866
ARH77,myeloma,6.433386040287677
AGS,digestive_system,7.095537036531544
ABC1,lung_NSCLC,125.08418617373754
A2058,skin,75.31595513922927
A375,skin,18.26524365220918
A253,aero_dig_tract,206.769573141831
8305C,thyroid,16.63614936066374
647V,urogenital_system,156.50891919224748
639V,urogenital_system,51.91724455432796
697,leukemia,0.21385757989985793
BT20,breast,71.01392609563553
A2780,urogenital_system,2.0954472184081903
CORL105,lung_NSCLC,45.46291778806002
CROAP2,lymphoma,3.667873256671789
CORL88,lung_SCLC,174.97848088655707
COLO824,breast,43.30161793436124
COLO800,skin,89.1207329099435
COLO792,skin,28.42536840071695
COLO680N,aero_dig_tract,205.70765286961725
COLO679,skin,141.42478203182569
CHP212,neuroblastoma,2.989732743611096
CFPAC1,pancreas,42.08982394705365
CASKI,urogenital_system,65.33709856508246
CAOV3,urogenital_system,107.01050422814417
CAL120,breast,414.59079598146883
CAL72,bone,18.752854859509345
CAL62,thyroid,130.19170264776116
C32,skin,102.69495581470406
DAUDI,lymphoma,10.957980460629837
DB,lymphoma,4.421482291779165
DAOY,nervous_system,66.2638168932093
D283MED,nervous_system,1.6719038382496652
DBTRG05MG,nervous_system,841.7566851703798
DEL,lymphoma,3.857329096264142
DETROIT562,aero_dig_tract,29.226914085137157
DG75,lymphoma,1.534241312660659
DKMG,nervous_system,43.02279106295684
DJM1,skin,51.852025576638084
DOHH2,lymphoma,0.41194929812864856
DOTC24510,urogenital_system,148.97924485981738
DU4475,breast,42.3358819702523
EB2,lymphoma,13.131330289813738
EB3,lymphoma,31.353534376292085
ECC10,digestive_system,33.251238016910385
ECC12,digestive_system,67.65058486270189
EFM19,breast,49.52373254346576
EFO27,urogenital_system,90.76865347892466
EM2,leukemia,15.956064876539232
EOL1CELL,leukemia,6.680815092900388
ETK1,digestive_system,16.398698960395055
EVSAT,breast,29.74957957621947
FADU,aero_dig_tract,18.47951830265185
FTC133,thyroid,369.37227100834724
G361,skin,17.374471956565422
GAMG,nervous_system,32.35129334822072
GCIY,digestive_system,128.19659704198682
GDM1,leukemia,3.144113580413036
GI1,nervous_system,115.28104309374984
GIMEN,neuroblastoma,10.338719273032746
GOTO,neuroblastoma,72.91752442184406
GRST,leukemia,1.6143170694056965
GCT,soft_tissue,27.86682741815537
ESS1,urogenital_system,58.120183734925405
H4,nervous_system,6.639840884343897
H9,lymphoma,17.4712207738208
HC1,leukemia,14.024068049957181
HCC1419,breast,46.25048729448949
HCC1569,breast,45.666728903068375
HCC1806,breast,50.165322442715166
HCC70,breast,54.67830429802122
HEC1,urogenital_system,283.89118121530475
HEL,leukemia,3.23300162056333
HGC27,digestive_system,2.6644695642439324
HH,leukemia,11.251697430726285
HLE,digestive_system,62.10546572737993
HMVII,skin,14.225811132448847
HOS,bone,27.93848139529425
HSC3,aero_dig_tract,13.023820149437162
HSC4,aero_dig_tract,341.86024048898076
HT,lymphoma,8.376867182279828
HT1080,soft_tissue,595.9197438331042
HT1197,urogenital_system,160.2426133181739
HT1376,urogenital_system,170.3426505599204
HT144,skin,18.667256504067367
HT3,urogenital_system,195.68162964178927
HUCCT1,digestive_system,43.574059164636886
HUH7,digestive_system,115.33085526302023
HUO9,bone,23.722405943658078
HUTU80,digestive_system,2.8232677763061607
IGR1,skin,17.19335548205597
IMR5,neuroblastoma,3.2507020877136776
IPC298,skin,6.559996044609847
ISTMEL1,skin,117.7764104128166
ISTMES1,lung,38.26639133067305
JAR,urogenital_system,7.069551211291721
JEG3,urogenital_system,80.20308656662107
JIYOYEP2003,lymphoma,1.4436967334106474
JVM2,lymphoma,1.7154303807334719
JVM3,lymphoma,1.510887157761667
KALS1,nervous_system,95.02642397214258
KARPAS45,leukemia,3.3620704851145016
KARPAS299,lymphoma,3.998566812335144
